"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Abrade","scd","Near Mint","English","","","2025-03-05 00:23:27.240000","122","False","False","0.19"
"2","2","Abrade","inr","Near Mint","English","","","2025-03-05 00:42:14.297000","139","False","False",""
"1","1","Abrade","tdc","Near Mint","English","","","2025-04-21 05:53:34.557000","203","False","False",""
"1","1","Absorb","scd","Near Mint","English","","","2025-01-08 21:49:55.733000","216","False","False","0.25"
"1","1","Abstruse Appropriation","mh3","Near Mint","English","","","2025-01-08 21:49:55.733000","342","False","False","0.63"
"1","1","Abundant Growth","inr","Near Mint","English","","","2025-02-22 21:45:23.960000","406","False","False",""
"1","1","Abundant Growth","inr","Near Mint","English","","","2025-02-22 21:45:40.553000","184","False","False",""
"2","2","Abzan Kin-Guard","frf","Near Mint","English","","","2025-03-06 19:29:57.220000","120","False","False",""
"1","1","Adamant Will","vow","Near Mint","English","","","2025-03-04 21:47:40.697000","1","False","False",""
"1","1","Adaptive Training Post","tdc","Near Mint","English","","","2025-04-21 05:53:34.557000","18","False","False",""
"1","1","Adarkar Wastes","m3c","Near Mint","English","","","2025-01-08 21:49:55.733000","316","False","False","2.45"
"1","1","Adarkar Wastes","tdc","Near Mint","English","","","2025-04-21 05:53:34.557000","338","False","False",""
"1","1","Admonition Angel","znc","Near Mint","English","","","2025-01-08 21:49:55.733000","10","False","False","0.76"
"1","1","Aeronaut Cavalry","bro","Near Mint","English","","","2025-03-07 22:32:28.313000","1","False","False",""
"1","1","Aether Hub","kld","Near Mint","English","","","2025-03-05 02:40:24.160000","242","False","False",""
"1","1","Aether Hub","m3c","Near Mint","English","","","2025-01-08 21:49:55.733000","317","False","False","0.16"
"1","1","Aether Refinery","m3c","Near Mint","English","","","2025-01-08 21:49:55.733000","106","False","False","0.15"
"1","1","Aether Spike","mh3","Near Mint","English","","","2025-01-08 21:49:55.733000","50","False","False","0.03"
"1","1","Aethergeode Miner","m3c","Near Mint","English","","","2025-01-08 21:49:55.733000","163","False","False","0.13"
"1","1","Aetherize","scd","Near Mint","English","","","2025-01-08 21:49:55.733000","42","False","False","0.46"
"1","1","Aethersphere Harvester","m3c","Near Mint","English","","","2025-01-08 21:49:55.733000","280","False","False","0.12"
"1","1","Aethersquall Ancient","m3c","Near Mint","English","","","2025-01-08 21:49:55.733000","174","False","False","0.10"
"1","1","Aetherstorm Roc","m3c","Near Mint","English","","","2025-01-08 21:49:55.733000","164","False","False","0.11"
"1","1","Aethertide Whale","m3c","Near Mint","English","","","2025-01-08 21:49:55.733000","175","False","False","0.10"
"1","1","Aetherworks Marvel","m3c","Near Mint","English","","","2025-01-08 21:49:55.733000","281","False","False","0.55"
"1","1","Agate Assault","blb","Near Mint","English","","","2025-03-06 20:22:23.803000","122","False","False",""
"1","1","Aim for the Head","vow","Near Mint","English","","","2025-03-06 19:31:09.873000","92","False","False",""
"1","1","Aim High","inr","Near Mint","English","","","2025-02-22 21:49:22.000000","185","False","False",""
"1","1","Ainok Artillerist","dtk","Near Mint","English","","","2025-01-08 21:49:55.733000","171","False","False","0.03"
"1","1","Ajani's Mantra","m11","Near Mint","English","","","2025-03-07 19:39:17.903000","2","False","False",""
"1","1","Akoum Hellhound","znr","Near Mint","English","","","2025-03-07 22:29:41.140000","133","False","False",""
"1","1","Akoum Refuge","scd","Near Mint","English","","","2025-01-08 21:49:55.733000","289","False","False","0.16"
"1","1","Akroan Skyguard","bng","Near Mint","English","","","2025-01-08 21:49:55.733000","3","False","False","0.12"
"1","1","Akroma, Angel of Fury","mkc","Near Mint","English","","","2025-01-08 21:49:55.733000","146","False","False","0.19"
"1","1","Akroma, Angel of Wrath","c20","Near Mint","English","","","2025-01-08 21:49:55.733000","73","False","False","5.07"
"1","1","Akroma, Vision of Ixidor","cmr","Near Mint","English","","","2025-01-08 21:49:55.733000","2","False","False","8.65"
"1","1","Akroma's Vengeance","c18","Near Mint","English","","","2025-01-08 21:49:55.733000","62","False","False","0.37"
"1","1","Akroma's Will","m3c","Near Mint","English","","","2025-01-08 21:49:55.733000","165","False","False","9.66"
"1","1","Alchemist's Retrieval","vow","Near Mint","English","","","2025-01-08 21:49:55.733000","47","False","False","0.06"
"1","1","Alchemist's Retrieval","vow","Near Mint","English","","","2025-03-04 21:48:46.180000","47","False","False",""
"1","1","Alesha, Who Laughs at Fate","fdn","Near Mint","English","foil","","2025-01-08 21:49:55.733000","115","False","False","0.81"
"1","1","Aligned Heart","tdc","Near Mint","English","","","2025-04-21 05:53:34.557000","12","False","False",""
"1","1","All-Out Assault","tdm","Near Mint","English","","","2025-04-30 17:25:13.783000","167","False","False",""
"1","1","Amass the Components","avr","Near Mint","English","","","2025-03-06 19:16:56.297000","43","False","False",""
"1","1","Ambition's Cost","scd","Near Mint","English","","","2025-01-08 21:49:55.733000","66","False","False","0.14"
"1","1","Amped Raptor","mh3","Near Mint","English","","","2025-01-08 21:49:55.733000","114","False","False","0.12"
"1","1","Ancestral Anger","vow","Near Mint","English","","","2025-03-04 20:45:14.057000","142","False","False",""
"1","1","Ancestral Anger","inr","Near Mint","English","","","2025-02-15 03:08:11.533000","141","False","False",""
"1","1","Ancestral Blade","cmm","Near Mint","English","","","2025-01-08 21:49:55.733000","12","False","False","0.03"
"1","1","Ancestral Vision","tdc","Near Mint","English","","","2025-04-21 05:53:34.557000","144","False","False",""
"1","1","Ancient Hydra","nem","Near Mint","English","","","2025-03-07 22:38:48.187000","76","False","False",""
"2","2","Ancient Kavu","inv","Near Mint","English","","","2025-03-07 22:39:05.810000","136","False","False",""
"1","1","Angel of Despair","uma","Near Mint","English","","","2025-01-08 21:49:55.733000","196","False","False","1.85"
"1","1","Angel of Invention","m3c","Near Mint","English","","","2025-01-08 21:49:55.733000","166","False","False","0.34"
"1","1","Angel of the Ruins","mkc","Near Mint","English","","","2025-01-08 21:49:55.733000","55","False","False","0.08"
"1","1","Angler Turtle","scd","Near Mint","English","","","2025-01-08 21:49:55.733000","43","False","False","0.12"
"1","1","Anguished Unmaking","2x2","Near Mint","English","","","2025-01-09 22:32:28.763000","170","False","False",""
"1","1","Anowon, the Ruin Sage","c17","Near Mint","English","","","2025-03-15 16:08:00.600000","96","False","False",""
"1","1","Anticognition","znr","Near Mint","English","","","2025-03-05 01:03:00.143000","45","False","False",""
"1","1","Anvilwrought Raptor","m20","Near Mint","English","","","2025-03-06 22:23:05.337000","221","False","False",""
"2","2","Anvilwrought Raptor","ths","Near Mint","English","","","2025-03-07 23:03:15.637000","211","False","False",""
"1","1","Apothecary Geist","inr","Near Mint","English","","","2025-02-22 21:43:50.627000","10","False","False",""
"1","1","Apothecary Stomper","fdn","Near Mint","English","","","2025-01-08 21:49:55.733000","99","False","False","0.02"
"1","1","Arashin Foremost","dtk","Near Mint","English","","","2025-01-08 21:49:55.733000","3","False","False","0.18"
"1","1","Arcane Denial","woc","Near Mint","English","","","2025-01-08 21:49:55.733000","84","False","False","2.43"
"1","1","Arcane Denial","m3c","Near Mint","English","","","2025-01-08 21:49:55.733000","176","False","False","2.33"
"1","1","Arcane Sanctum","dsc","Near Mint","English","","","2025-01-08 21:49:55.733000","259","False","False","0.39"
"1","1","Arcane Signet","scd","Near Mint","English","","","2025-01-08 21:49:55.733000","257","False","False","0.45"
"2","2","Arcane Signet","m3c","Near Mint","English","","","2025-01-08 21:50:30.193000","283","False","False","0.53"
"1","1","Arcane Signet","drc","Near Mint","English","","","2025-02-21 02:17:13.470000","52","False","False",""
"1","1","Arcane Signet","tdc","Near Mint","English","","","2025-04-21 05:53:34.557000","105","False","False",""
"1","1","Archangel Avacyn // Avacyn, the Purifier","soi","Near Mint","English","","","2025-01-11 03:15:17.607000","5","False","False",""
"1","1","Archfiend of Depravity","scd","Near Mint","English","","","2025-01-08 21:50:32.360000","67","False","False","10.04"
"1","1","Archfiend of Ifnir","akh","Near Mint","English","","","2025-01-08 21:49:55.733000","78","False","False","4.71"
"2","2","Archmage Emeritus","tdc","Near Mint","English","","","2025-04-21 05:53:34.557000","145","False","False",""
"1","1","Archon of Redemption","scd","Near Mint","English","","","2025-01-08 21:49:55.733000","7","False","False","0.11"
"1","1","Archpriest of Shadows","mom","Near Mint","English","","","2025-01-08 21:49:55.733000","356","False","False","0.86"
"1","1","Archway Commons","stx","Near Mint","English","","","2025-01-08 21:49:55.733000","263","False","False","0.08"
"1","1","Ardent Elementalist","mid","Near Mint","English","","","2025-03-07 23:06:42.490000","128","False","False",""
"1","1","Arena Athlete","uma","Near Mint","English","","","2025-01-08 21:49:55.733000","123","False","False","0.02"
"1","1","Arena of Glory","mh3","Near Mint","English","","","2025-04-30 17:28:51.310000","215","False","False",""
"1","1","Argivian Cavalier","dmu","Near Mint","English","","","2025-03-06 21:09:49.057000","4","False","False",""
"2","2","Arlinn's Wolf","war","Near Mint","English","","","2025-03-05 00:46:02.193000","151","False","False",""
"2","2","Armorcraft Judge","cmr","Near Mint","English","","","2025-03-06 21:12:14.213000","218","False","False",""
"1","1","Arni Slays the Troll","khm","Near Mint","English","","","2025-01-08 21:49:55.733000","201","False","False","0.15"
"1","1","Aron, Benalia's Ruin","dmu","Near Mint","English","","","2025-01-08 21:49:55.733000","292","False","False","0.04"
"1","1","Arrest","mmq","Near Mint","English","","","2025-03-07 23:12:39.623000","4","False","False",""
"1","1","Arrester's Zeal","rna","Near Mint","English","","","2025-03-07 23:12:55.923000","4","False","False",""
"1","1","Arrogant Outlaw","mid","Near Mint","English","","","2025-03-07 20:47:41.443000","84","False","False",""
"1","1","Artful Maneuver","dtk","Near Mint","English","","","2025-01-08 21:49:55.733000","4","False","False","0.02"
"1","1","Artillery Blast","dmu","Near Mint","English","","","2025-03-06 21:10:07.107000","6","False","False",""
"1","1","Ash Barrens","tdc","Near Mint","English","","","2025-04-21 05:53:34.557000","339","False","False",""
"1","1","Ash Barrens","40k","Near Mint","English","","","2025-02-22 04:38:11.193000","265","False","False",""
"1","1","Ash Barrens","plst","Near Mint","English","","","2025-01-27 03:54:01.460000","CM2-235","False","False",""
"1","1","Ashnod's Intervention","bro","Near Mint","English","","","2025-03-04 23:24:53.227000","85","False","False",""
"1","1","Assaultron Dominator","pip","Near Mint","English","","","2025-01-08 21:49:55.733000","54","False","False","0.12"
"1","1","Astarion's Thirst","clb","Near Mint","English","","","2025-02-04 20:12:18.373000","114","False","False",""
"2","2","Asylum Visitor","inr","Near Mint","English","","","2025-03-05 00:37:55.330000","96","False","False",""
"2","2","Atog","3ed","Near Mint","English","","","2025-03-07 22:38:08.747000","139","False","False",""
"1","1","Audience with Trostani","mkm","Near Mint","English","","","2025-03-06 19:07:10.583000","309","False","False",""
"1","1","Aurelia, the Law Above","mkm","Near Mint","English","","","2025-01-08 21:49:55.733000","357","False","False","0.87"
"1","1","Aurelia, the Warleader","fdn","Near Mint","English","","","2025-01-08 21:49:55.733000","651","False","False","3.61"
