Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Adarkar Wastes,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,316,False,False,2.45
1,1,Adarkar Wastes,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,338,False,False,
1,1,Archpriest of Shadows,mom,Near Mint,English,,,2025-01-08 21:49:55.733000,356,False,False,0.86
1,1,Blackblade Reforged,ss2,Near Mint,English,,,2025-01-09 22:38:53.423000,8,False,False,
1,1,Blackcleave Cliffs,one,Near Mint,English,,,2025-04-30 17:29:18.757000,248,False,False,
1,1,"Dakkon, Shadow Slayer",mh2,Near Mint,English,,,2025-01-08 21:49:55.733000,363,False,False,0.49
1,1,Dark Ritual,sta,Near Mint,English,,,2025-01-14 17:15:40.353000,26,False,False,
1,1,Dark Tutelage,wot,Near Mint,English,,,2025-01-08 21:49:55.733000,28,False,False,0.08
1,1,Darkstar Augur,blb,Near Mint,English,,,2025-02-24 02:21:09.533000,90,False,False,
1,1,Darkstar Augur,tblb,Near Mint,English,,,2025-02-24 02:20:51.867000,11,False,False,
1,1,Darksteel Ingot,otc,Near Mint,English,,,2025-01-08 21:49:55.733000,256,False,False,0.18
1,1,Deathbloom Gardener,dmu,Near Mint,English,foil,,2025-01-08 21:49:55.733000,159,False,False,0.3
1,1,Fear of Death,vow,Near Mint,English,,,2025-03-07 19:45:35.387000,59,False,False,
1,1,Leechridden Swamp,dsc,Near Mint,English,,,2025-01-27 03:53:31.990000,286,False,False,
1,1,Master of Dark Rites,lcc,Near Mint,English,,,2025-03-15 16:07:25.483000,83,False,False,
1,1,"Orcus, Prince of Undeath",afr,Near Mint,English,,,2025-01-08 21:49:55.733000,229,False,False,0.25
1,1,Shadow Alley Denizen,gtc,Near Mint,English,,,2025-03-07 22:44:07.763000,76,False,False,
1,1,Shadow of the Grave,akh,Near Mint,English,,,2025-01-08 21:49:55.733000,107,False,False,0.38
2,2,Shadowbeast Sighting,mid,Near Mint,English,,,2025-03-07 20:26:36.343000,198,False,False,
1,1,Shadowblood Ridge,c20,Near Mint,English,,,2025-01-27 03:52:50.240000,309,False,False,
1,1,Shadowborn Demon,j22,Near Mint,English,,,2025-01-08 21:49:55.733000,464,False,False,0.37
1,1,Shadow-Rite Priest,dmu,Near Mint,English,,,2025-01-08 21:49:55.733000,106,False,False,0.23
2,2,Shadows Over Innistrad Checklist 1,tsoi,Near Mint,English,,,2025-01-08 21:49:55.733000,CH1,False,False,
2,2,Swamp,inr,Near Mint,English,,,2025-02-22 18:42:18.777000,292,False,False,
5,5,Swamp,scd,Near Mint,English,,,2025-01-08 21:49:55.733000,342,False,False,0.15
1,1,Swamp,dmu,Near Mint,English,,,2025-01-08 21:49:55.733000,268,False,False,0.08
2,2,Swamp,snc,Near Mint,English,,,2025-03-05 02:04:04.617000,276,False,False,
7,7,Swamp,vow,Near Mint,English,,,2025-03-06 02:32:36.133000,273,False,False,0.55
1,1,Swamp,vow,Near Mint,English,,,2025-03-04 20:44:14.717000,272,False,False,
1,1,Swamp,ths,Near Mint,English,,,2025-01-08 21:49:55.733000,241,False,False,0.12
9,9,Swamp,scd,Near Mint,English,,,2025-01-08 21:49:55.733000,342,False,False,0.15
