Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Baron Bertram Graywater,otj,Near Mint,English,,,2025-03-02 19:30:18.973000,195,False,False,
2,2,Bloodwater Entity,hou,Near Mint,English,,,2025-03-06 21:59:20.977000,138,False,False,
1,1,Cackling Counterpart,inr,Near Mint,English,,,2025-02-22 21:44:56.523000,55,False,False,
1,1,Clockwork Drawbridge,dmu,Near Mint,English,,,2025-01-08 21:49:55.733000,13,False,False,0.03
1,1,Clockwork Drawbridge,dmu,Near Mint,English,,,2025-03-06 21:10:21.337000,13,False,False,
1,1,Counterspell,mh2,Near Mint,English,,,2025-01-08 21:49:55.733000,267,False,False,1.57
1,1,Counterspell,dmr,Near Mint,English,,,2025-01-08 21:49:55.733000,45,False,False,1.7
1,1,Decanter of Endless Water,clb,Near Mint,English,foil,,2025-01-12 06:11:12.817000,444,False,False,0.47
1,1,Dismal Backwater,m21,Near Mint,English,,,2025-03-05 02:39:44.580000,245,False,False,
1,1,Dismal Backwater,m20,Near Mint,English,,,2025-01-08 21:49:55.733000,245,False,False,0.1
1,1,Island,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,270,False,False,0.25
1,1,Island,snc,Near Mint,English,,,2025-03-05 01:50:10.760000,275,False,False,
5,5,Island,scd,Near Mint,English,,,2025-01-08 21:49:55.733000,340,False,False,0.07
8,8,Island,scd,Near Mint,English,,,2025-01-08 21:49:55.733000,337,False,False,0.07
5,5,Island,mh3,Near Mint,English,,,2025-01-08 21:49:55.733000,312,False,False,0.07
2,2,Island,mh3,Near Mint,English,,,2025-01-08 21:49:55.733000,313,False,False,0.05
7,7,Island,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,84,False,False,0.08
1,1,Island,inr,Near Mint,English,,,2025-02-15 03:07:08.610000,291,False,False,
2,2,Island,tdm,Near Mint,English,,,2025-04-21 05:53:34.557000,280,False,False,
3,3,Island,tdm,Near Mint,English,,,2025-04-21 05:53:34.557000,279,False,False,
1,1,Moonring Island,shm,Near Mint,English,,,2025-03-05 02:42:22.507000,276,False,False,
