Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Archon of Redemption,scd,Near Mint,English,,,2025-01-08 21:49:55.733000,7,False,False,0.11
1,1,Balefire Dragon,isd,Near Mint,English,,,2025-04-30 17:26:48.610000,129,False,False,
1,1,Bird Admirer // Wing Shredder,mid,Near Mint,English,,,2025-03-06 21:21:02.963000,298,False,False,
1,1,Burning Prophet,war,Near Mint,English,,,2025-03-06 21:58:14.923000,117,False,False,
1,1,Burning Vengeance,inr,Near Mint,English,,,2025-02-22 21:47:51.483000,147,False,False,
1,1,Burning-Rune Demon,khm,Near Mint,English,,,2025-02-25 02:27:30.717000,81,False,False,
1,1,Burnished Hart,scd,Near Mint,English,,,2025-01-08 21:49:55.733000,260,False,False,0.09
1,1,Burnished Hart,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,284,False,False,0.07
1,1,Cori Mountain Monastery,tdm,Near Mint,English,,,2025-04-28 20:44:27.710000,393,False,False,
1,1,Dredge the Mire,scd,Near Mint,English,,,2025-01-08 21:49:55.733000,76,False,False,0.13
1,1,Eutropia the Twice-Favored,thb,Near Mint,English,,,2025-03-07 23:24:03.417000,216,False,False,
1,1,Fight with Fire,dom,Near Mint,English,,,2025-03-05 01:41:08.253000,119,False,False,
1,1,Firebrand Archer,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,196,False,False,0.09
1,1,Firemane Avenger,gk1,Near Mint,English,,,2025-01-08 21:49:55.733000,89,False,False,0.39
1,1,Firemane Commando,moc,Near Mint,English,,,2025-01-12 06:16:17.923000,81,False,False,
1,1,Flames of the Firebrand,m14,Near Mint,English,,,2025-03-07 23:22:16.927000,139,False,False,
1,1,Frostburn Weird,rtr,Near Mint,English,,,2025-01-08 21:49:55.733000,215,False,False,0.04
1,1,Hearts on Fire,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,17,False,False,0.09
1,1,Hinterland Logger // Timber Shredder,inr,Near Mint,English,,,2025-02-22 21:35:18.597000,203,False,False,
1,1,Hired Poisoner,grn,Near Mint,English,,,2025-03-07 22:58:46.203000,72,False,False,
2,2,Hired Torturer,dgm,Near Mint,English,,,2025-03-07 22:40:12.323000,25,False,False,
