Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Admonition Angel,znc,Near Mint,English,,,2025-01-08 21:49:55.733000,10,False,False,0.76
1,1,"Akroma, Angel of Fury",mkc,Near Mint,English,,,2025-01-08 21:49:55.733000,146,False,False,0.19
1,1,"Akroma, Angel of Wrath",c20,Near Mint,English,,,2025-01-08 21:49:55.733000,73,False,False,5.07
1,1,Angel of Despair,uma,Near Mint,English,,,2025-01-08 21:49:55.733000,196,False,False,1.85
1,1,Angel of Invention,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,166,False,False,0.34
1,1,Angel of the Ruins,mkc,Near Mint,English,,,2025-01-08 21:49:55.733000,55,False,False,0.08
1,1,"Archangel Avacyn // Avacyn, the Purifier",soi,Near Mint,English,,,2025-01-11 03:15:17.607000,5,False,False,
1,1,"Avacyn, Angel of Hope",cmm,Near Mint,English,,,2025-04-21 01:43:22.327000,14,False,False,
1,1,Dazzling Angel,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,9,False,False,0.08
1,1,Emeria Angel,scd,Near Mint,English,,,2025-01-08 21:49:55.733000,21,False,False,0.34
1,1,Firemane Angel,ima,Near Mint,English,,,2025-01-08 21:49:55.733000,199,False,False,0.28
1,1,"Liesa, Forgotten Archangel",mid,Near Mint,English,,,2025-01-08 21:49:55.733000,232,False,False,6.23
1,1,Metropolis Angel,snc,Near Mint,English,,,2025-03-05 00:58:40.657000,203,False,False,
6,6,Plains,eld,Near Mint,English,,,2025-01-08 21:49:55.733000,251,False,False,0.07
1,1,Plains,dtk,Near Mint,English,,,2025-01-08 21:49:55.733000,251,False,False,0.09
1,1,Plains,eld,Near Mint,English,,,2025-01-08 21:49:55.733000,251,False,False,0.07
5,5,Plains,scd,Near Mint,English,,,2025-01-08 21:49:55.733000,336,False,False,0.05
2,2,Plains,tdm,Near Mint,English,,,2025-04-21 05:53:34.557000,278,False,False,
2,2,Plains,tdm,Near Mint,English,,,2025-04-21 05:53:34.557000,277,False,False,
1,1,Plains,inr,Near Mint,English,,,2025-02-15 03:06:38.753000,288,False,False,
1,1,Plains,fdn,Near Mint,English,,,2025-02-15 02:49:54.600000,283,False,False,
6,6,Plains,mh3,Near Mint,English,,,2025-01-08 21:49:55.733000,311,False,False,0.06
1,1,Plains,one,Near Mint,English,,,2025-01-08 21:49:55.733000,272,False,False,0.06
9,9,Plains,scd,Near Mint,English,,,2025-01-08 21:49:55.733000,336,False,False,0.05
1,1,Plains,scd,Near Mint,English,,,2025-01-08 21:49:55.733000,333,False,False,0.1
7,7,Plains,vow,Near Mint,English,,,2025-03-06 02:32:10.630000,268,False,False,0.22
2,2,Plains,znr,Near Mint,English,,,2025-03-05 02:00:19.107000,267,False,False,
5,5,Plains,znr,Near Mint,English,,,2025-03-05 02:00:50.453000,268,False,False,
4,4,Plains,znr,Near Mint,English,,,2025-03-05 02:00:35.317000,266,False,False,
1,1,Restoration Angel,tsr,Near Mint,English,,,2025-01-08 21:49:55.733000,300,False,False,0.38
1,1,Restoration Angel,inr,Near Mint,English,,,2025-07-05 01:08:35.387000,38,False,False,
1,1,Serra Angel,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,147,False,False,0.07
1,1,Sunblast Angel,afc,Near Mint,English,,,2025-02-21 02:36:21.050000,74,False,False,
1,1,Sun-Blessed Healer,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,25,False,False,0.11
1,1,Vault of the Archangel,lcc,Near Mint,English,,,2025-03-15 16:08:24.857000,367,False,False,
1,1,Vault of the Archangel,lcc,Near Mint,English,,,2025-01-08 21:49:55.733000,367,False,False,0.42
1,1,White Sun's Twilight,one,Near Mint,English,,,2025-07-05 00:39:09.560000,38,False,False,
