Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Agate Assault,blb,Near Mint,English,,,2025-03-06 20:22:23.803000,122,False,False,
1,1,Banishing Light,blb,Near Mint,English,,,2025-03-06 20:22:49.833000,1,False,False,
1,1,Barkform Harvester,blb,Near Mint,English,,,2025-03-07 22:18:54.027000,243,False,False,
1,1,Bellowing Crier,blb,Near Mint,English,,,2025-03-06 20:14:04.193000,42,False,False,
1,1,Brave-Kin Duo,blb,Near Mint,English,,,2025-03-06 20:22:09.660000,3,False,False,
1,1,Cindering Cutthroat,blb,Near Mint,English,,,2025-03-06 21:23:17.420000,208,False,False,
3,3,Conduct Electricity,blb,Near Mint,English,,,2025-03-07 22:42:26.977000,130,False,False,
1,1,Darkstar Augur,blb,Near Mint,English,,,2025-02-24 02:21:09.533000,90,False,False,
1,1,Dire Downdraft,blb,Near Mint,English,,,2025-03-06 21:24:12.890000,46,False,False,
1,1,Diresight,blb,Near Mint,English,,,2025-03-07 22:59:09.350000,91,False,False,
1,1,Druid of the Spade,blb,Near Mint,English,,,2025-03-07 23:19:21.507000,170,False,False,
1,1,Fountainport Bell,blb,Near Mint,English,,,2025-03-06 22:06:08.803000,245,False,False,
1,1,Hearthborn Battler,blb,Near Mint,English,,,2025-03-02 19:31:20.410000,361,False,False,
1,1,Jackdaw Savior,blb,Near Mint,English,,,2025-01-08 21:49:55.733000,296,False,False,0.29
1,1,Junkblade Bruiser,blb,Near Mint,English,,,2025-03-07 22:36:11.473000,220,False,False,
1,1,"Kastral, the Windcrested",blb,Near Mint,English,foil,,2025-01-08 21:49:55.733000,221,False,False,0.21
1,1,Mind Drill Assailant,blb,Near Mint,English,,,2025-03-07 22:18:32.857000,225,False,False,
1,1,Raccoon Rallier,blb,Near Mint,English,,,2025-03-07 22:17:56.450000,148,False,False,
3,3,Run Away Together,blb,Near Mint,English,,,2025-03-07 22:42:47.780000,67,False,False,
3,3,Rust-Shield Rampager,blb,Near Mint,English,,,2025-03-06 22:17:17.833000,190,False,False,
1,1,Scales of Shale,blb,Near Mint,English,,,2025-03-05 01:01:33.753000,110,False,False,
1,1,Seedpod Squire,blb,Near Mint,English,,,2025-03-06 22:16:37.247000,232,False,False,
1,1,Shore Up,blb,Near Mint,English,,,2025-03-05 01:01:47.880000,69,False,False,
1,1,Starfall Invocation,blb,Near Mint,English,,,2025-01-27 02:48:33.163000,298,False,False,
2,2,Sunshower Druid,blb,Near Mint,English,,,2025-03-05 01:01:55.707000,195,False,False,
2,2,Tempest Angler,blb,Near Mint,English,,,2025-03-05 01:39:29.883000,235,False,False,
2,2,Three Tree Mascot,blb,Near Mint,English,,,2025-03-05 01:40:00.730000,251,False,False,
1,1,Three Tree Rootweaver,blb,Near Mint,English,,,2025-03-07 22:58:56.737000,198,False,False,
1,1,Uncharted Haven,blb,Near Mint,English,,,2025-03-05 02:38:56.763000,261,False,False,
1,1,Veteran Guardmouse,blb,Near Mint,English,,,2025-03-06 22:25:56.467000,237,False,False,
1,1,Whiskerquill Scribe,blb,Near Mint,English,,,2025-03-07 22:35:46.557000,161,False,False,
