Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Akroan Skyguard,bng,Near Mint,English,,,2025-01-08 21:49:55.733000,3,False,False,0.12
1,1,Epiphany Storm,bng,Near Mint,English,,,2025-01-08 21:49:55.733000,91,False,False,0.02
1,1,Fate Unraveler,bng,Near Mint,English,,,2025-02-20 03:30:41.817000,68,False,False,
1,1,Floodtide Serpent,bng,Near Mint,English,,,2025-01-08 21:49:55.733000,41,False,False,0.03
1,1,Ghostblade Eidolon,bng,Near Mint,English,,,2025-01-08 21:49:55.733000,12,False,False,0.09
1,1,Hold at Bay,bng,Near Mint,English,,,2025-01-08 21:49:55.733000,18,False,False,0.02
1,1,Hunter's Prowess,bng,Near Mint,English,,,2025-01-08 21:49:55.733000,124,False,False,0.35
1,1,Lightning Volley,bng,Near Mint,English,,,2025-01-08 21:49:55.733000,101,False,False,0.08
1,1,Marshmist Titan,bng,Near Mint,English,,,2025-01-08 21:49:55.733000,76,False,False,0.07
1,1,"Mogis, God of Slaughter",bng,Near Mint,English,,,2025-02-21 03:08:27.477000,151,False,False,
1,1,Nullify,bng,Near Mint,English,,,2025-01-08 21:49:55.733000,45,False,False,0.05
1,1,Nyxborn Wolf,bng,Near Mint,English,,,2025-01-08 21:49:55.733000,131,False,False,0.07
1,1,Reap What Is Sown,bng,Near Mint,English,foil,,2025-01-08 21:49:55.733000,154,False,False,0.42
1,1,Reckless Reveler,bng,Near Mint,English,,,2025-01-08 21:49:55.733000,106,False,False,0.03
1,1,Revoke Existence,bng,Near Mint,English,,,2025-01-08 21:49:55.733000,25,False,False,0.08
2,2,Scouring Sands,bng,Near Mint,English,,,2025-01-08 21:49:55.733000,110,False,False,0.15
1,1,Siren of the Silent Song,bng,Near Mint,English,,,2025-01-08 21:49:55.733000,155,False,False,0.19
1,1,Snake of the Golden Grove,bng,Near Mint,English,,,2025-01-08 21:49:55.733000,141,False,False,0.05
1,1,Thassa's Rebuff,bng,Near Mint,English,,,2025-03-06 22:29:03.320000,54,False,False,
