Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,"Akroma, Vision of Ixidor",cmr,Near Mint,English,,,2025-01-08 21:49:55.733000,2,False,False,8.65
2,2,Armorcraft Judge,cmr,Near Mint,English,,,2025-03-06 21:12:14.213000,218,False,False,
1,1,Azure Fleet Admiral,cmr,Near Mint,English,,,2025-03-07 22:33:56.767000,58,False,False,
1,1,Bladebrand,cmr,Near Mint,English,,,2025-03-04 23:17:08.860000,110,False,False,
1,1,Brass Herald,cmr,Near Mint,English,,,2025-03-06 21:22:44.423000,301,False,False,
1,1,Cage of Hands,cmr,Near Mint,English,,,2025-03-04 23:28:30.643000,14,False,False,
1,1,Captain's Call,cmr,Near Mint,English,,,2025-03-07 23:15:06.283000,15,False,False,
1,1,Coastline Marauders,cmr,Near Mint,English,,,2025-03-07 22:45:45.387000,168,False,False,
2,2,Confiscate,cmr,Near Mint,English,,,2025-03-07 22:44:50.817000,62,False,False,
1,1,Daring Saboteur,cmr,Near Mint,English,,,2025-03-05 00:48:11.070000,64,False,False,
2,2,Demonic Lore,cmr,Near Mint,English,,,2025-03-06 21:23:31.017000,118,False,False,
1,1,Dreamstone Hedron,cmr,Near Mint,English,,,2025-03-04 23:26:24.080000,307,False,False,
3,3,Faith's Fetters,cmr,Near Mint,English,,,2025-03-07 23:19:32.850000,20,False,False,
1,1,First Response,cmr,Near Mint,English,,,2025-03-07 23:13:58.077000,22,False,False,
1,1,Flood of Recollection,cmr,Near Mint,English,,,2025-03-07 23:04:59.627000,61,False,False,
1,1,Ghastly Demise,cmr,Near Mint,English,,,2025-03-04 23:28:58.007000,129,False,False,
1,1,Gift of Paradise,cmr,Near Mint,English,,,2025-03-07 22:35:32.420000,229,False,False,
1,1,Goblin Trailblazer,cmr,Near Mint,English,,,2025-03-04 23:12:25.330000,182,False,False,
3,3,Golem Artisan,cmr,Near Mint,English,,,2025-03-07 23:27:03.557000,311,False,False,
1,1,Haunted Cloak,cmr,Near Mint,English,,,2025-03-07 22:33:33.547000,313,False,False,
2,2,Hero's Blade,cmr,Near Mint,English,,,2025-03-07 23:26:04.453000,314,False,False,
1,1,Horizon Scholar,cmr,Near Mint,English,,,2025-03-04 23:27:19.107000,73,False,False,
1,1,Hunter's Insight,cmr,Near Mint,English,,,2025-03-07 22:45:31.290000,232,False,False,
1,1,Ingenuity Engine,cmr,Near Mint,English,,,2025-03-06 21:11:14.153000,317,False,False,
1,1,Jalum Tome,cmr,Near Mint,English,,,2025-03-07 23:03:48.263000,318,False,False,
1,1,Kangee's Lieutenant,cmr,Near Mint,English,,,2025-03-07 22:51:46.697000,26,False,False,
1,1,Kitesail Skirmisher,cmr,Near Mint,English,,,2025-03-07 23:04:45.393000,77,False,False,
1,1,"Liesa, Shroud of Dusk",cmr,Near Mint,English,,,2025-01-08 21:49:55.733000,286,False,False,0.52
1,1,Lightning-Rig Crew,cmr,Near Mint,English,,,2025-03-05 00:50:04.173000,190,False,False,
1,1,Loreseeker's Stone,cmr,Near Mint,English,,,2025-03-05 00:49:38.290000,320,False,False,
1,1,Mask of Avacyn,cmr,Near Mint,English,,,2025-01-12 06:24:43.497000,466,False,False,2.72
1,1,Natural Reclamation,cmr,Near Mint,English,,,2025-03-07 22:35:12.777000,245,False,False,
1,1,"Nevinyrral, Urborg Tyrant",cmr,Near Mint,English,foil,,2025-01-12 06:31:47.390000,287,False,False,0.22
1,1,Ninth Bridge Patrol,cmr,Near Mint,English,,,2025-03-07 23:13:38.063000,33,False,False,
1,1,Null Caller,cmr,Near Mint,English,,,2025-03-07 23:19:47.340000,140,False,False,
