Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Arcane Sanctum,dsc,Near Mint,English,,,2025-01-08 21:49:55.733000,259,False,False,0.39
1,1,Bedevil,dsc,Near Mint,English,,,2025-01-08 21:49:55.733000,84,False,False,0.52
1,1,Blood Pact,dsc,Near Mint,English,,,2025-02-11 05:45:32.853000,76,False,False,
1,1,Command Tower,dsc,Near Mint,English,,,2025-02-21 02:17:36.270000,96,False,False,
1,1,Demonic Covenant,dsc,Near Mint,English,,,2025-01-08 21:49:55.733000,49,False,False,0.27
1,1,Dragonskull Summit,dsc,Near Mint,English,,,2025-02-21 02:17:53.453000,271,False,False,
1,1,Falkenrath Noble,dsc,Near Mint,English,,,2025-03-02 19:32:40.643000,140,False,False,
1,1,Gleeful Arsonist,dsc,Near Mint,English,,,2025-01-13 18:26:30.760000,56,False,False,
1,1,Leechridden Swamp,dsc,Near Mint,English,,,2025-01-27 03:53:31.990000,286,False,False,
1,1,Mayhem Devil,dsc,Near Mint,English,,,2025-01-11 03:06:44.223000,225,False,False,
1,1,Nightshade Harvester,dsc,Near Mint,English,,,2025-01-11 03:00:44.273000,150,False,False,
1,1,Obscura Storefront,dsc,Near Mint,English,,,2025-01-08 21:49:55.733000,291,False,False,0.16
1,1,Persistent Constrictor,dsc,Near Mint,English,,,2025-02-04 20:07:58.143000,52,False,False,
1,1,"Rakdos, Lord of Riots",dsc,Near Mint,English,,,2025-01-11 02:54:41.063000,230,False,False,
1,1,Rampaging Ferocidon,dsc,Near Mint,English,,,2025-01-29 02:49:55.000000,167,False,False,
1,1,Sadistic Shell Game,dsc,Near Mint,English,,,2025-01-11 03:01:07.987000,24,False,False,
1,1,Séance Board,dsc,Near Mint,English,,,2025-01-11 03:04:54.727000,67,False,False,
1,1,Spiked Corridor // Torture Pit,dsc,Near Mint,English,,,2025-02-20 03:28:52.687000,28,False,False,
1,1,Suspended Sentence,dsc,Near Mint,English,,,2025-01-11 03:05:08.170000,54,False,False,
1,1,The Master of Keys,dsc,Near Mint,English,,,2025-01-08 21:49:55.733000,4,False,False,0.82
1,1,"Valgavoth, Harrower of Souls",dsc,Near Mint,English,,,2025-01-12 06:48:19.383000,6,False,False,
1,1,Vial Smasher the Fierce,dsc,Near Mint,English,,,2025-01-13 18:29:10.037000,239,False,False,
1,1,Witch's Clinic,dsc,Near Mint,English,,,2025-02-11 05:46:13.070000,325,False,False,
