Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Ainok Artillerist,dtk,Near Mint,English,,,2025-01-08 21:49:55.733000,171,False,False,0.03
1,1,Arashin Foremost,dtk,Near Mint,English,,,2025-01-08 21:49:55.733000,3,False,False,0.18
1,1,Artful Maneuver,dtk,Near Mint,English,,,2025-01-08 21:49:55.733000,4,False,False,0.02
1,1,Defeat,dtk,Near Mint,English,,,2025-01-08 21:49:55.733000,97,False,False,0.02
1,1,Dragonlord Ojutai,dtk,Near Mint,English,,,2025-01-08 21:49:55.733000,219,False,False,0.53
1,1,Glint,dtk,Near Mint,English,,,2025-01-08 21:49:55.733000,55,False,False,0.05
1,1,Impact Tremors,dtk,Near Mint,English,,,2025-01-08 21:49:55.733000,140,False,False,2.37
1,1,Mystic Meditation,dtk,Near Mint,English,,,2025-01-08 21:49:55.733000,64,False,False,0.05
1,1,Plains,dtk,Near Mint,English,,,2025-01-08 21:49:55.733000,251,False,False,0.09
1,1,Qal Sisma Behemoth,dtk,Near Mint,English,,,2025-01-08 21:49:55.733000,149,False,False,0.05
1,1,Revealing Wind,dtk,Near Mint,English,,,2025-01-08 21:49:55.733000,197,False,False,0.04
1,1,Silumgar Sorcerer,dtk,Near Mint,English,,,2025-01-08 21:49:55.733000,76,False,False,0.09
1,1,Student of Ojutai,dtk,Near Mint,English,,,2025-01-08 21:49:55.733000,40,False,False,0.05
1,1,Tail Slash,dtk,Near Mint,English,,,2025-01-08 21:49:55.733000,161,False,False,0.04
1,1,Vandalize,dtk,Near Mint,English,,,2025-01-08 21:49:55.733000,165,False,False,0.05
