Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Bake into a Pie,eld,Near Mint,English,,,2025-03-07 19:56:24.360000,76,False,False,
1,1,Elite Headhunter,eld,Near Mint,English,,,2025-01-29 03:40:03.760000,209,False,False,
1,1,Fling,eld,Near Mint,English,,,2025-03-07 19:54:46.150000,126,False,False,
1,1,Giant Opportunity,eld,Near Mint,English,,,2025-03-07 23:18:02.243000,159,False,False,
1,1,Golden Egg,eld,Near Mint,English,,,2025-01-08 21:49:55.733000,220,False,False,0.07
1,1,Idyllic Grange,eld,Near Mint,English,,,2025-03-05 02:46:53.260000,246,False,False,
1,1,Into the Story,eld,Near Mint,English,,,2025-03-07 20:59:07.510000,50,False,False,
1,1,Locthwain Paladin,eld,Near Mint,English,,,2025-03-06 20:24:03.120000,93,False,False,
1,1,Maraleaf Rider,eld,Near Mint,English,,,2025-03-07 19:53:47.997000,166,False,False,
2,2,Oakhame Adversary,eld,Near Mint,English,,,2025-03-05 00:51:32.897000,167,False,False,
6,6,Plains,eld,Near Mint,English,,,2025-01-08 21:49:55.733000,251,False,False,0.07
1,1,Plains,eld,Near Mint,English,,,2025-01-08 21:49:55.733000,251,False,False,0.07
1,1,Revenge of Ravens,eld,Near Mint,English,foil,,2025-02-04 20:14:32.937000,104,False,False,
1,1,Slaying Fire,eld,Near Mint,English,,,2025-01-29 03:38:22.260000,143,False,False,
2,2,Trail of Crumbs,eld,Near Mint,English,,,2025-03-07 23:17:28.403000,179,False,False,
1,1,Unexplained Vision,eld,Near Mint,English,,,2025-03-06 22:23:34.113000,70,False,False,
1,1,Wicked Guardian,eld,Near Mint,English,,,2025-03-07 19:56:55.670000,109,False,False,
1,1,Wildwood Tracker,eld,Near Mint,English,,,2025-03-07 19:56:04.430000,183,False,False,
