Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Blood Mist,emn,Near Mint,English,,,2025-01-08 21:49:55.733000,119,False,False,0.18
1,1,Choking Restraints,emn,Near Mint,English,,,2025-01-08 21:49:55.733000,16,False,False,0.06
1,1,Courageous Outrider,emn,Near Mint,English,,,2025-01-08 21:49:55.733000,18,False,False,0.03
1,1,Crossroads Consecrator,emn,Near Mint,English,,,2025-01-08 21:49:55.733000,154,False,False,0.03
1,1,Curious Homunculus // Voracious Reader,emn,Near Mint,English,foil,,2025-01-12 06:10:10.717000,54,False,False,0.23
1,1,Distemper of the Blood,emn,Near Mint,English,,,2025-01-08 21:49:55.733000,126,False,False,0.08
1,1,Enlightened Maniac,emn,Near Mint,English,,,2025-01-08 21:49:55.733000,58,False,False,0.02
1,1,Faithbearer Paladin,emn,Near Mint,English,,,2025-01-08 21:49:55.733000,25,False,False,0.04
1,1,Field Creeper,emn,Near Mint,English,,,2025-01-08 21:49:55.733000,195,False,False,0.04
1,1,Galvanic Bombardment,emn,Near Mint,English,,,2025-01-08 21:49:55.733000,129,False,False,0.02
1,1,Gavony Unhallowed,emn,Near Mint,English,,,2025-01-08 21:49:55.733000,89,False,False,0.05
1,1,Graf Rats,emn,Near Mint,English,,,2025-03-05 00:23:20.337000,91,False,False,
1,1,It of the Horrid Swarm,emn,Near Mint,English,,,2025-03-07 23:08:37.510000,8,False,False,
1,1,Lashweed Lurker,emn,Near Mint,English,,,2025-03-07 23:08:53.850000,9,False,False,
1,1,Nahiri's Wrath,emn,Near Mint,English,,,2025-01-08 21:49:55.733000,137,False,False,0.37
1,1,Ruthless Disposal,emn,Near Mint,English,,,2025-01-08 21:49:55.733000,103,False,False,0.04
1,1,Shrill Howler // Howling Chorus,emn,Near Mint,English,,,2025-03-07 23:09:28.310000,168,False,False,
1,1,Skirsdag Supplicant,emn,Near Mint,English,,,2025-03-07 23:10:33.723000,104,False,False,
1,1,Springsage Ritual,emn,Near Mint,English,,,2025-03-07 23:09:50.523000,172,False,False,
1,1,Take Inventory,emn,Near Mint,English,,,2025-03-07 22:58:34.957000,76,False,False,
1,1,Woodcutter's Grit,emn,Near Mint,English,,,2025-03-07 22:28:58.147000,179,False,False,
1,1,Wretched Gryff,emn,Near Mint,English,,,2025-01-08 21:49:55.733000,12,False,False,0.13
