Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,"Alesha, Who Laughs at Fate",fdn,Near Mint,English,foil,,2025-01-08 21:49:55.733000,115,False,False,0.81
1,1,Apothecary Stomper,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,99,False,False,0.02
1,1,"Aurelia, the Warleader",fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,651,False,False,3.61
1,1,Bigfin Bouncer,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,31,False,False,0.02
1,1,Blasphemous Edict,fdn,Near Mint,English,,,2025-03-02 19:28:35.263000,57,False,False,
1,1,Bushwhack,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,215,False,False,0.12
1,1,Celestial Armor,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,443,False,False,0.52
1,1,Courageous Goblin,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,82,False,False,0.02
1,1,Crypt Feaster,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,59,False,False,0.02
1,1,Day of Judgment,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,140,False,False,0.97
1,1,Dazzling Angel,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,9,False,False,0.08
1,1,Desecration Demon,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,603,False,False,0.37
1,1,Dreadwing Scavenger,fdn,Near Mint,English,foil,,2025-01-08 21:49:55.733000,118,False,False,0.07
1,1,"Elenda, Saint of Dusk",fdn,Near Mint,English,foil,,2025-01-08 21:49:55.733000,119,False,False,0.95
1,1,Elfsworn Giant,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,103,False,False,0.06
1,1,Erudite Wizard,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,37,False,False,0.02
1,1,Exsanguinate,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,173,False,False,0.53
1,1,Fiery Annihilation,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,86,False,False,0.08
1,1,Firebrand Archer,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,196,False,False,0.09
1,1,Gleaming Barrier,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,252,False,False,0.02
1,1,Immersturm Predator,fdn,Near Mint,English,,,2025-07-05 00:29:30.387000,660,False,False,
1,1,Inspiration from Beyond,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,43,False,False,0.05
1,1,Inspiring Paladin,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,18,False,False,0.04
1,1,Involuntary Employment,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,203,False,False,0.04
1,1,"Kykar, Zephyr Awakener",fdn,Near Mint,English,,,2025-02-15 02:49:07.040000,122,False,False,
1,1,Lightshell Duo,fdn,Near Mint,English,foil,,2025-01-12 06:26:49.947000,157,False,False,0.02
1,1,Lyra Dawnbringer,fdn,Near Mint,English,foil,,2025-01-08 21:49:55.733000,707,False,False,2.57
1,1,Marauding Blight-Priest,fdn,Near Mint,English,foil,,2025-03-09 18:54:55.237000,178,False,False,
1,1,Meteor Golem,fdn,Near Mint,English,,,2025-02-21 02:39:02.527000,256,False,False,
1,1,"Muldrotha, the Gravetide",fdn,Near Mint,English,foil,,2025-01-08 21:49:55.733000,243,False,False,1.96
1,1,Painful Quandary,fdn,Near Mint,English,,,2025-01-11 03:08:14.363000,179,False,False,
1,1,Perforating Artist,fdn,Near Mint,English,,,2025-01-11 03:08:28.973000,124,False,False,
1,1,Phyrexian Arena,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,180,False,False,1.17
1,1,Plains,fdn,Near Mint,English,,,2025-02-15 02:49:54.600000,283,False,False,
1,1,Rogue's Passage,fdn,Near Mint,English,,,2025-02-15 02:52:53.753000,264,False,False,
1,1,Secluded Courtyard,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,267,False,False,0.21
1,1,Serra Angel,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,147,False,False,0.07
1,1,Skyknight Squire,fdn,Near Mint,English,,,2025-07-05 01:42:29.427000,301,False,False,
1,1,Sower of Chaos,fdn,Near Mint,English,,,2025-02-15 02:49:24.877000,95,False,False,
1,1,Sphinx of Forgotten Lore,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,51,False,False,0.75
1,1,Sun-Blessed Healer,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,25,False,False,0.11
1,1,Thornwood Falls,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,269,False,False,0.04
1,1,Tragic Banshee,fdn,Near Mint,English,,,2025-02-21 02:38:17.123000,73,False,False,
1,1,Twinblade Blessing,fdn,Near Mint,English,,,2025-02-21 02:39:16.513000,26,False,False,
1,1,Vampire Soulcaller,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,75,False,False,0.03
1,1,Vengeful Bloodwitch,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,76,False,False,0.23
1,1,Wary Thespian,fdn,Near Mint,English,,,2025-01-08 21:49:55.733000,235,False,False,0.02
1,1,Witness Protection,fdn,Near Mint,English,foil,,2025-01-08 21:49:55.733000,168,False,False,0.18
