Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Boros Guildgate,gtc,Near Mint,English,,,2025-03-05 01:54:32.250000,239,False,False,
2,2,Drakewing Krasis,gtc,Near Mint,English,,,2025-03-06 21:04:43.650000,157,False,False,
1,1,Grisly Spectacle,gtc,Near Mint,English,,,2025-03-07 19:59:28.703000,66,False,False,
1,1,Ground Assault,gtc,Near Mint,English,,,2025-03-06 21:37:50.917000,168,False,False,
2,2,Mugging,gtc,Near Mint,English,,,2025-01-08 21:49:55.733000,102,False,False,0.03
2,2,Ordruun Veteran,gtc,Near Mint,English,,,2025-03-06 21:05:15.770000,184,False,False,
2,2,Pit Fight,gtc,Near Mint,English,,,2025-03-07 19:48:31.030000,223,False,False,
1,1,Shadow Alley Denizen,gtc,Near Mint,English,,,2025-03-07 22:44:07.763000,76,False,False,
1,1,Simic Guildgate,gtc,Near Mint,English,,,2025-03-05 01:54:04.107000,246,False,False,
1,1,Skarrg Guildmage,gtc,Near Mint,English,,,2025-03-06 21:39:06.810000,196,False,False,
1,1,Slate Street Ruffian,gtc,Near Mint,English,,,2025-03-07 19:59:14.147000,78,False,False,
1,1,Totally Lost,gtc,Near Mint,English,,,2025-03-06 19:32:39.020000,54,False,False,
1,1,Warmind Infantry,gtc,Near Mint,English,,,2025-03-06 19:43:01.773000,111,False,False,
