Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
2,2,Abrade,inr,Near Mint,English,,,2025-03-05 00:42:14.297000,139,False,False,
1,1,Abundant Growth,inr,Near Mint,English,,,2025-02-22 21:45:23.960000,406,False,False,
1,1,Abundant Growth,inr,Near Mint,English,,,2025-02-22 21:45:40.553000,184,False,False,
1,1,Aim High,inr,Near Mint,English,,,2025-02-22 21:49:22.000000,185,False,False,
1,1,Ancestral Anger,inr,Near Mint,English,,,2025-02-15 03:08:11.533000,141,False,False,
1,1,Apothecary Geist,inr,Near Mint,English,,,2025-02-22 21:43:50.627000,10,False,False,
2,2,Asylum Visitor,inr,Near Mint,English,,,2025-03-05 00:37:55.330000,96,False,False,
1,1,Avacynian Priest,inr,Near Mint,English,,,2025-02-15 03:13:31.330000,12,False,False,
1,1,Battleground Geist,inr,Near Mint,English,,,2025-02-22 21:48:19.327000,53,False,False,
1,1,Bedlam Reveler,inr,Near Mint,English,,,2025-02-15 03:15:34.060000,142,False,False,
1,1,Blazing Torch,inr,Near Mint,English,,,2025-02-15 02:48:26.727000,254,False,False,
2,2,Blood Artist,inr,Near Mint,English,,,2025-03-04 21:40:00.387000,97,False,False,
1,1,Bloodline Keeper // Lord of Lineage,inr,Near Mint,English,,,2025-03-09 18:52:36.470000,461,False,False,
2,2,Bloodmad Vampire,inr,Near Mint,English,,,2025-03-05 00:37:02.960000,145,False,False,
1,1,Bound by Moonsilver,inr,Near Mint,English,,,2025-02-15 03:13:15.333000,13,False,False,
1,1,Bramble Wurm,inr,Near Mint,English,,,2025-02-15 03:00:46.493000,187,False,False,
1,1,Burning Vengeance,inr,Near Mint,English,,,2025-02-22 21:47:51.483000,147,False,False,
1,1,Butcher's Cleaver,inr,Near Mint,English,,,2025-02-15 03:14:35.723000,256,False,False,
1,1,Cackling Counterpart,inr,Near Mint,English,,,2025-02-22 21:44:56.523000,55,False,False,
1,1,Captivating Vampire,inr,Near Mint,English,foil,,2025-03-09 18:54:09.023000,100,False,False,
1,1,Cathar Commando,inr,Near Mint,English,foil,,2025-02-22 21:35:39.190000,15,False,False,
1,1,Cathars' Crusade,inr,Near Mint,English,,,2025-07-05 01:02:20.150000,17,False,False,
1,1,Cobbled Lancer,inr,Near Mint,English,,,2025-02-22 21:41:14.613000,56,False,False,
1,1,Cobbled Wings,inr,Near Mint,English,,,2025-02-15 03:03:33.223000,258,False,False,
1,1,Conduit of Storms // Conduit of Emrakul,inr,Near Mint,English,,,2025-02-22 21:47:10.890000,150,False,False,
