Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Breaching Hippocamp,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,290,False,False,0.16
1,1,Brineborn Cutthroat,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,291,False,False,0.08
1,1,"Cleon, Merry Champion",j25,Near Mint,English,,,2025-01-08 21:49:55.733000,47,False,False,0.15
1,1,Frontline Heroism,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,15,False,False,0.56
1,1,Gift of Fangs,j25,Near Mint,English,,,2025-02-15 02:41:18.460000,444,False,False,
1,1,Harvester of Souls,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,453,False,False,0.46
1,1,Hearts on Fire,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,17,False,False,0.09
7,7,Island,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,84,False,False,0.08
1,1,Kiln Fiend,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,139,False,False,0.06
7,7,Mountain,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,90,False,False,0.08
1,1,Naiad of Hidden Coves,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,333,False,False,0.11
1,1,"Nazar, the Velvet Fang",j25,Near Mint,English,,,2025-02-15 02:42:03.343000,43,False,False,
1,1,Opt,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,339,False,False,0.09
1,1,Roil Eruption,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,592,False,False,0.04
1,1,Satyr Hoplite,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,595,False,False,0.1
1,1,Scholar of Combustion,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,19,False,False,0.12
1,1,Spectral Sailor,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,363,False,False,0.05
1,1,Starlight Snare,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,9,False,False,0.06
1,1,Starlit Mantle,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,366,False,False,0.15
1,1,Stinging Lionfish,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,367,False,False,0.1
1,1,Supreme Will,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,370,False,False,0.1
1,1,"Taborax, Hope's Demise",j25,Near Mint,English,,,2025-01-08 21:49:55.733000,69,False,False,0.24
1,1,Thriving Bluff,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,775,False,False,0.04
1,1,Thriving Heath,j25,Near Mint,English,,,2025-02-21 03:14:23.817000,777,False,False,
1,1,Titan's Strength,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,603,False,False,0.07
1,1,Twinferno,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,606,False,False,0.15
1,1,Uncaged Fury,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,607,False,False,0.05
1,1,"Urdnan, Dromoka Warrior",j25,Near Mint,English,,,2025-02-15 02:42:25.563000,34,False,False,
1,1,"Venser, Shaper Savant",j25,Near Mint,English,,,2025-01-12 06:50:01.723000,66,False,False,0.32
1,1,"Vilis, Broker of Blood",j25,Near Mint,English,,,2025-01-08 21:49:55.733000,70,False,False,4.43
1,1,Wind Strider,j25,Near Mint,English,,,2025-01-08 21:49:55.733000,389,False,False,0.09
