Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Arni Slays the Troll,khm,Near Mint,English,,,2025-01-08 21:49:55.733000,201,False,False,0.15
1,1,Avalanche Caller,khm,Near Mint,English,,,2025-01-08 21:49:55.733000,45,False,False,0.04
1,1,Burning-Rune Demon,khm,Near Mint,English,,,2025-02-25 02:27:30.717000,81,False,False,
1,1,Cleaving Reaper,khm,Near Mint,English,,,2025-01-08 21:49:55.733000,376,False,False,0.16
1,1,Funeral Longboat,khm,Near Mint,English,,,2025-01-08 21:49:55.733000,238,False,False,0.03
1,1,Gnottvold Slumbermound,khm,Near Mint,English,foil,,2025-01-12 06:17:32.757000,258,False,False,0.06
1,1,Invoke the Divine,khm,Near Mint,English,,,2025-01-08 21:49:55.733000,16,False,False,0.06
2,2,Iron Verdict,khm,Near Mint,English,,,2025-03-05 00:47:48.940000,17,False,False,
2,2,Jarl of the Forsaken,khm,Near Mint,English,,,2025-03-05 00:33:45.533000,100,False,False,
1,1,Karfell Harbinger,khm,Near Mint,English,,,2025-03-05 00:51:59.163000,65,False,False,
1,1,Littjara Kinseekers,khm,Near Mint,English,,,2025-03-05 00:52:42.613000,66,False,False,
1,1,Rootless Yew,khm,Near Mint,English,,,2025-01-08 21:49:55.733000,189,False,False,0.06
1,1,Rune of Flight,khm,Near Mint,English,,,2025-03-07 22:26:13.840000,75,False,False,
1,1,Runeforge Champion,khm,Near Mint,English,,,2025-01-08 21:49:55.733000,26,False,False,0.05
1,1,Shimmerdrift Vale,khm,Near Mint,English,foil,,2025-01-12 06:40:53.470000,267,False,False,0.11
1,1,Snow-Covered Forest,khm,Near Mint,English,,,2025-01-08 21:49:55.733000,285,False,False,0.92
1,1,"Svella, Ice Shaper",khm,Near Mint,English,,,2025-01-08 21:49:55.733000,230,False,False,0.12
1,1,"Tergrid, God of Fright // Tergrid's Lantern",khm,Near Mint,English,,,2025-02-20 03:30:31.973000,307,False,False,
2,2,Tibalt's Trickery,khm,Near Mint,English,,,2025-02-21 02:23:34.487000,153,False,False,
1,1,"Valki, God of Lies // Tibalt, Cosmic Impostor",khm,Near Mint,English,,,2025-02-21 02:19:01.890000,114,False,False,
1,1,"Varragoth, Bloodsky Sire",khm,Near Mint,English,,,2025-01-08 21:49:55.733000,115,False,False,3.86
2,2,Withercrown,khm,Near Mint,English,,,2025-03-05 00:33:56.470000,119,False,False,
