Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Aether Hub,kld,Near Mint,English,,,2025-03-05 02:40:24.160000,242,False,False,
1,1,Brazen Scourge,kld,Near Mint,English,,,2025-03-05 00:45:09.530000,107,False,False,
1,1,Consulate Surveillance,kld,Near Mint,English,,,2025-01-08 21:49:55.733000,10,False,False,0.16
1,1,Diabolic Tutor,kld,Near Mint,English,,,2025-01-08 21:49:55.733000,75,False,False,1.04
1,1,Electrostatic Pummeler,kld,Near Mint,English,,,2025-01-08 21:49:55.733000,210,False,False,0.31
1,1,Essence Extraction,kld,Near Mint,English,,,2025-03-05 01:14:47.933000,80,False,False,
1,1,Fabrication Module,kld,Near Mint,English,,,2025-01-08 21:49:55.733000,211,False,False,0.21
1,1,Inspiring Vantage,kld,Near Mint,English,,,2025-04-30 17:23:37.670000,246,False,False,
1,1,Torrential Gearhulk,kld,Near Mint,English,,,2025-01-08 21:49:55.733000,67,False,False,0.89
2,2,Woodweaver's Puzzleknot,kld,Near Mint,English,,,2025-03-06 22:01:05.483000,240,False,False,
