Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,"Clavileño, First of the Blessed",lcc,Near Mint,English,foil,,2025-03-12 21:35:45.373000,2,False,False,
1,1,Damn,lcc,Near Mint,English,,,2025-01-08 21:49:55.733000,191,False,False,0.85
1,1,"Elenda, the Dusk Rose",lcc,Near Mint,English,,,2025-07-05 00:27:00.100000,268,False,False,
1,1,Etchings of the Chosen,lcc,Near Mint,English,,,2025-03-02 19:27:23.430000,269,False,False,
1,1,Exquisite Blood,lcc,Near Mint,English,,,2025-03-02 19:32:57.520000,195,False,False,
1,1,Fiery Confluence,lcc,Near Mint,English,,,2025-01-08 21:49:55.733000,226,False,False,0.23
1,1,Herald's Horn,lcc,Near Mint,English,,,2025-03-12 21:29:24.853000,304,False,False,
1,1,Legion Lieutenant,lcc,Near Mint,English,,,2025-03-02 19:33:57.860000,275,False,False,
1,1,Master of Dark Rites,lcc,Near Mint,English,,,2025-03-15 16:07:25.483000,83,False,False,
1,1,Nighthawk Scavenger,lcc,Near Mint,English,,,2025-03-15 16:09:04.277000,203,False,False,
1,1,Olivia's Wrath,lcc,Near Mint,English,,,2025-03-02 19:27:01.780000,205,False,False,
1,1,Orzhov Basilica,lcc,Near Mint,English,,,2025-02-21 02:33:44.957000,345,False,False,
1,1,Orzhov Signet,lcc,Near Mint,English,,,2025-01-08 21:49:55.733000,310,False,False,0.19
1,1,Patron of the Vein,lcc,Near Mint,English,,,2025-03-09 18:53:15.377000,207,False,False,
1,1,Port Razer,lcc,Near Mint,English,,,2025-01-08 21:49:55.733000,230,False,False,0.72
1,1,Reliquary Tower,lcc,Near Mint,English,,,2025-01-08 21:49:55.733000,348,False,False,1.83
1,1,"Sorin, Lord of Innistrad",lcc,Near Mint,English,,,2025-03-15 16:09:52.697000,289,False,False,
1,1,Talisman of Hierarchy,lcc,Near Mint,English,,,2025-01-25 18:36:43.677000,315,False,False,
1,1,Twilight Prophet,lcc,Near Mint,English,,,2025-07-05 00:34:13.063000,211,False,False,
1,1,Vault of the Archangel,lcc,Near Mint,English,,,2025-03-15 16:08:24.857000,367,False,False,
1,1,Vault of the Archangel,lcc,Near Mint,English,,,2025-01-08 21:49:55.733000,367,False,False,0.42
1,1,"Vona, Butcher of Magan",lcc,Near Mint,English,,,2025-03-12 21:36:16.200000,293,False,False,
1,1,"Yahenni, Undying Partisan",lcc,Near Mint,English,,,2025-03-02 19:33:24.710000,214,False,False,
