Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Door of Destinies,ltc,Near Mint,English,,,2025-07-05 00:34:52.450000,277,False,False,
2,2,Field of Ruin,ltc,Near Mint,English,,,2025-02-21 02:27:25.177000,308,False,False,
1,1,Ghost Quarter,ltc,Near Mint,English,,,2025-01-08 21:49:55.733000,314,False,False,0.48
1,1,Glacial Fortress,ltc,Near Mint,English,,,2025-01-08 21:49:55.733000,315,False,False,0.82
1,1,"Gwaihir, Greatest of the Eagles",ltc,Near Mint,English,,,2025-01-12 06:18:53.427000,15,False,False,0.27
1,1,Lonely Sandbar,ltc,Near Mint,English,,,2025-01-08 21:49:55.733000,319,False,False,0.13
1,1,Sulfur Falls,ltc,Near Mint,English,,,2025-01-08 21:49:55.733000,333,False,False,0.82
1,1,Talisman of Conviction,ltc,Near Mint,English,,,2025-03-09 18:56:55.563000,285,False,False,
1,1,Vanquisher's Banner,ltc,Near Mint,English,,,2025-03-12 21:29:15.163000,289,False,False,
2,2,Whispersilk Cloak,ltc,Near Mint,English,,,2025-01-12 06:50:50.733000,292,False,False,1.88
