Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Anvilwrought Raptor,m20,Near Mint,English,,,2025-03-06 22:23:05.337000,221,False,False,
1,1,Barony Vampire,m20,Near Mint,English,,,2025-03-05 01:40:44.740000,85,False,False,
1,1,Bloodsoaked Altar,m20,Near Mint,English,,,2025-01-08 21:49:55.733000,90,False,False,0.06
1,1,Disenchant,m20,Near Mint,English,,,2025-01-08 21:49:55.733000,14,False,False,0.08
1,1,Dismal Backwater,m20,Near Mint,English,,,2025-01-08 21:49:55.733000,245,False,False,0.1
1,1,"Drakuseth, Maw of Flames",m20,Near Mint,English,,,2025-01-08 21:49:55.733000,136,False,False,0.48
2,2,"Kaalia, Zenith Seeker",m20,Near Mint,English,,,2025-04-30 17:38:30.953000,210,False,False,
1,1,Knight of the Ebon Legion,m20,Near Mint,English,,,2025-04-21 01:59:34.297000,105,False,False,
1,1,Mind Rot,m20,Near Mint,English,,,2025-03-05 01:40:22.433000,108,False,False,
1,1,Savage Gorger,m20,Near Mint,English,,,2025-07-05 00:29:49.580000,291,False,False,
1,1,Scoured Barrens,m20,Near Mint,English,,,2025-03-05 02:40:06.710000,251,False,False,
1,1,Scoured Barrens,m20,Near Mint,English,,,2025-03-04 00:08:28.320000,251,False,False,0.11
1,1,Soulmender,m20,Near Mint,English,,,2025-01-08 21:49:55.733000,37,False,False,0.03
1,1,Temple of Silence,m20,Near Mint,English,,,2025-01-08 21:49:55.733000,256,False,False,0.18
1,1,Wind-Scarred Crag,m20,Near Mint,English,,,2025-01-08 21:49:55.733000,260,False,False,0.07
