Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Adarkar Wastes,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,316,False,False,2.45
1,1,Aether Hub,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,317,False,False,0.16
1,1,Aether Refinery,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,106,False,False,0.15
1,1,Aethergeode Miner,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,163,False,False,0.13
1,1,Aethersphere Harvester,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,280,False,False,0.12
1,1,Aethersquall Ancient,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,174,False,False,0.1
1,1,Aetherstorm Roc,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,164,False,False,0.11
1,1,Aethertide Whale,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,175,False,False,0.1
1,1,Aetherworks Marvel,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,281,False,False,0.55
1,1,Akroma's Will,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,165,False,False,9.66
1,1,Angel of Invention,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,166,False,False,0.34
1,1,Arcane Denial,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,176,False,False,2.33
2,2,Arcane Signet,m3c,Near Mint,English,,,2025-01-08 21:50:30.193000,283,False,False,0.53
1,1,Aurora Shifter,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,97,False,False,0.13
1,1,Austere Command,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,167,False,False,0.49
1,1,Azorius Chancery,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,319,False,False,0.14
1,1,Battlefield Forge,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,321,False,False,0.98
1,1,Bident of Thassa,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,177,False,False,0.44
1,1,Blaster Hulk,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,107,False,False,0.11
1,1,"Brudiclad, Telchor Engineer",m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,257,False,False,0.28
1,1,Burnished Hart,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,284,False,False,0.07
1,1,Castle Vantress,m3c,Near Mint,English,,,2025-04-10 15:19:25.067000,327,False,False,
1,1,"Cayth, Famed Mechanist",m3c,Near Mint,English,foil,,2025-01-08 21:49:55.733000,6,False,False,0.23
1,1,Chromatic Lantern,m3c,Near Mint,English,,,2025-03-12 21:25:29.780000,285,False,False,
1,1,Coalition Relic,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,286,False,False,0.22
1,1,Combustible Gearhulk,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,210,False,False,0.3
1,1,Command Tower,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,331,False,False,0.24
1,1,Confiscation Coup,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,178,False,False,0.09
1,1,Conversion Apparatus,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,128,False,False,0.18
1,1,Coveted Jewel,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,287,False,False,0.17
1,1,Decoction Module,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,288,False,False,0.15
1,1,Demolition Field,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,335,False,False,0.68
1,1,Era of Innovation,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,183,False,False,0.08
1,1,Farewell,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,170,False,False,5.02
1,1,Filigree Racer,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,108,False,False,0.14
1,1,Final Act,m3c,Near Mint,English,,,2025-02-21 02:18:10.507000,52,False,False,
1,1,Frostboil Snarl,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,344,False,False,0.19
1,1,Furycalm Snarl,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,345,False,False,0.16
1,1,Glimmer of Genius,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,187,False,False,0.04
1,1,Goldspan Dragon,m3c,Near Mint,English,,,2025-01-12 06:18:09.000000,212,False,False,8.41
1,1,Gonti's Aether Heart,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,294,False,False,0.58
1,1,"Grenzo, Havoc Raiser",m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,213,False,False,0.17
1,1,Hourglass of the Lost,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,92,False,False,0.24
1,1,Izzet Boilerworks,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,350,False,False,0.26
1,1,Legion Loyalty,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,171,False,False,0.52
1,1,Lightning Runner,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,215,False,False,0.19
1,1,Localized Destruction,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,93,False,False,0.14
1,1,Midnight Clock,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,189,False,False,0.33
1,1,Myr Battlesphere,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,301,False,False,0.2
1,1,Mystic Gate,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,359,False,False,1.58
1,1,Mystic Monastery,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,360,False,False,0.15
1,1,Overclocked Electromancer,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,110,False,False,0.1
1,1,Prairie Stream,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,365,False,False,0.17
1,1,Razorfield Ripper,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,94,False,False,0.17
1,1,Salvation Colossus,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,95,False,False,0.15
1,1,"Satya, Aetherflux Genius",m3c,Near Mint,English,etched,,2025-01-12 06:38:01.683000,23,False,False,0.11
1,1,Shivan Reef,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,375,False,False,0.85
1,1,Silverquill Lecturer,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,96,False,False,0.17
1,1,Skyclave Apparition,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,172,False,False,0.28
1,1,Solemn Simulacrum,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,306,False,False,0.32
1,1,Sphinx of the Revelation,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,127,False,False,0.24
1,1,Stone Idol Generator,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,129,False,False,0.15
1,1,Swords to Plowshares,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,173,False,False,1.28
1,1,"Syr Konrad, the Grim",m3c,Near Mint,English,,,2025-01-11 03:07:03.917000,207,False,False,
1,1,Talisman of Conviction,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,307,False,False,0.29
1,1,Talisman of Creativity,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,308,False,False,1.28
1,1,Talisman of Dominance,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,310,False,False,1.31
1,1,Temple of Epiphany,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,387,False,False,0.15
1,1,Temple of Triumph,m3c,Near Mint,English,,,2025-01-08 21:49:55.733000,392,False,False,0.1
