Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Ardent Elementalist,mid,Near Mint,English,,,2025-03-07 23:06:42.490000,128,False,False,
1,1,Arrogant Outlaw,mid,Near Mint,English,,,2025-03-07 20:47:41.443000,84,False,False,
1,1,Baithook Angler // Hook-Haunt Drifter,mid,Near Mint,English,,,2025-03-07 23:16:34.467000,42,False,False,
1,1,Bat Whisperer,mid,Near Mint,English,,,2025-03-07 23:23:08.567000,86,False,False,
1,1,Bird Admirer // Wing Shredder,mid,Near Mint,English,,,2025-03-06 21:21:02.963000,298,False,False,
1,1,Bladebrand,mid,Near Mint,English,,,2025-03-07 23:16:00.170000,87,False,False,
1,1,Blessed Defiance,mid,Near Mint,English,,,2025-03-06 21:15:36.590000,5,False,False,
1,1,Blood Pact,mid,Near Mint,English,,,2025-02-18 02:39:33.950000,88,False,False,
2,2,Bounding Wolf,mid,Near Mint,English,,,2025-03-07 23:30:08.147000,170,False,False,
2,2,Bramble Armor,mid,Near Mint,English,,,2025-03-07 23:29:37.367000,171,False,False,
1,1,Brimstone Vandal,mid,Near Mint,English,,,2025-03-07 23:30:28.030000,130,False,False,
1,1,Clarion Cathars,mid,Near Mint,English,,,2025-03-06 21:15:49.037000,14,False,False,
1,1,Contortionist Troupe,mid,Near Mint,English,,,2025-03-06 19:43:40.270000,178,False,False,
1,1,Crawl from the Cellar,mid,Near Mint,English,,,2025-03-07 23:21:22.690000,93,False,False,
1,1,Drownyard Amalgam,mid,Near Mint,English,,,2025-03-06 21:19:23.220000,50,False,False,
1,1,Duelcraft Trainer,mid,Near Mint,English,,,2025-03-07 23:16:58.343000,16,False,False,
1,1,Duress,mid,Near Mint,English,,,2025-03-06 22:25:22.947000,98,False,False,
1,1,Eccentric Farmer,mid,Near Mint,English,,,2025-03-04 22:36:48.507000,185,False,False,
1,1,Electric Revelation,mid,Near Mint,English,,,2025-03-05 01:10:14.210000,135,False,False,
1,1,Faithful Mending,mid,Near Mint,English,,,2025-01-08 21:49:55.733000,221,False,False,0.51
1,1,Falcon Abomination,mid,Near Mint,English,,,2025-03-07 23:06:19.243000,52,False,False,
2,2,Festival Crasher,mid,Near Mint,English,,,2025-03-07 20:47:55.423000,140,False,False,
1,1,Flip the Switch,mid,Near Mint,English,,,2025-03-07 23:06:04.463000,54,False,False,
1,1,"Florian, Voldaren Scion",mid,Near Mint,English,,,2025-01-11 03:08:44.387000,318,False,False,
3,3,Galedrifter // Waildrifter,mid,Near Mint,English,,,2025-03-07 23:30:37.370000,55,False,False,
1,1,Haunted Ridge,mid,Near Mint,English,,,2025-07-05 01:29:20.263000,263,False,False,
1,1,Howl of the Hunt,mid,Near Mint,English,,,2025-03-04 22:38:27.437000,188,False,False,
1,1,Immolation,mid,Near Mint,English,,,2025-03-07 23:23:21.673000,144,False,False,
1,1,"Liesa, Forgotten Archangel",mid,Near Mint,English,,,2025-01-08 21:49:55.733000,232,False,False,6.23
1,1,Locked in the Cemetery,mid,Near Mint,English,,,2025-03-06 21:18:54.353000,60,False,False,
1,1,Morkrut Behemoth,mid,Near Mint,English,,,2025-03-06 22:24:56.590000,114,False,False,
1,1,Mourning Patrol // Morning Apparition,mid,Near Mint,English,,,2025-03-07 23:23:44.537000,28,False,False,
1,1,Nebelgast Intruder,mid,Near Mint,English,,,2025-03-05 01:33:47.837000,64,False,False,
1,1,No Way Out,mid,Near Mint,English,,,2025-03-07 23:29:10.220000,116,False,False,
1,1,Novice Occultist,mid,Near Mint,English,,,2025-03-05 00:53:51.150000,117,False,False,
1,1,Overwhelmed Archivist // Archive Haunt,mid,Near Mint,English,,,2025-03-06 21:20:10.867000,68,False,False,
1,1,Pack's Betrayal,mid,Near Mint,English,,,2025-03-05 01:09:08.240000,153,False,False,
1,1,Pestilent Wolf,mid,Near Mint,English,,,2025-03-06 21:14:38.187000,192,False,False,
1,1,Phantom Carriage,mid,Near Mint,English,,,2025-03-07 23:05:40.580000,70,False,False,
1,1,Raze the Effigy,mid,Near Mint,English,,,2025-03-04 22:37:42.510000,156,False,False,
1,1,Rise of the Ants,mid,Near Mint,English,,,2025-03-06 21:20:46.090000,196,False,False,
3,3,Rotten Reunion,mid,Near Mint,English,,,2025-03-07 23:29:55.167000,119,False,False,
1,1,Sacred Fire,mid,Near Mint,English,,,2025-03-06 21:19:51.927000,239,False,False,
1,1,Secrets of the Key,mid,Near Mint,English,,,2025-03-07 23:22:56.047000,73,False,False,
2,2,Shadowbeast Sighting,mid,Near Mint,English,,,2025-03-07 20:26:36.343000,198,False,False,
1,1,Shady Traveler // Stalking Predator,mid,Near Mint,English,,,2025-03-05 01:09:48.673000,120,False,False,
1,1,Shipwreck Sifters,mid,Near Mint,English,,,2025-03-05 01:09:35.143000,74,False,False,
1,1,Sigardian Savior,mid,Near Mint,English,foil,,2025-07-05 01:09:16.753000,331,False,False,
1,1,Spellrune Painter // Spellrune Howler,mid,Near Mint,English,,,2025-03-05 01:32:19.590000,295,False,False,
1,1,Startle,mid,Near Mint,English,,,2025-03-06 22:25:39.410000,78,False,False,
1,1,Stolen Vitality,mid,Near Mint,English,,,2025-03-04 22:36:02.427000,161,False,False,
1,1,Storm Skreelix,mid,Near Mint,English,,,2025-03-05 01:31:06.843000,243,False,False,
1,1,Stormrider Spirit,mid,Near Mint,English,,,2025-03-06 21:16:20.973000,79,False,False,
1,1,Stromkirk Bloodthief,mid,Near Mint,English,,,2025-03-07 23:15:40.517000,123,False,False,
3,3,Sungold Barrage,mid,Near Mint,English,,,2025-03-07 23:16:21.207000,36,False,False,
1,1,Tavern Ruffian // Tavern Smasher,mid,Near Mint,English,,,2025-03-06 21:15:19.023000,163,False,False,
1,1,Tavern Ruffian // Tavern Smasher,mid,Near Mint,English,,,2025-03-07 23:15:23.487000,296,False,False,
1,1,Thraben Exorcism,mid,Near Mint,English,,,2025-03-05 01:32:45.517000,39,False,False,
1,1,Timberland Guide,mid,Near Mint,English,,,2025-03-07 23:21:37.877000,202,False,False,
1,1,Tireless Hauler // Dire-Strain Brawler,mid,Near Mint,English,,,2025-03-06 21:19:08.843000,305,False,False,
1,1,Unblinking Observer,mid,Near Mint,English,,,2025-03-05 00:54:13.260000,82,False,False,
1,1,Voldaren Stinger,mid,Near Mint,English,,,2025-03-06 21:16:43.510000,167,False,False,
