Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Blackcleave Cliffs,one,Near Mint,English,,,2025-04-30 17:29:18.757000,248,False,False,
2,2,Carnivorous Canopy,one,Near Mint,English,,,2025-03-07 19:47:45.817000,162,False,False,
1,1,Contagious Vorrac,one,Near Mint,English,,,2025-03-07 19:47:36.627000,164,False,False,
1,1,Hexgold Slash,one,Near Mint,English,,,2025-03-06 19:13:54.590000,137,False,False,
1,1,Kuldotha Cackler,one,Near Mint,English,,,2025-03-06 19:13:29.640000,139,False,False,
1,1,Mesmerizing Dose,one,Near Mint,English,,,2025-03-07 19:44:53.530000,62,False,False,
1,1,Plains,one,Near Mint,English,,,2025-01-08 21:49:55.733000,272,False,False,0.06
1,1,Resistance Skywarden,one,Near Mint,English,,,2025-01-08 21:49:55.733000,146,False,False,0.02
1,1,"Skrelv, Defector Mite",one,Near Mint,English,,,2025-07-05 00:38:14.677000,33,False,False,
1,1,Skyscythe Engulfer,one,Near Mint,English,,,2025-03-06 19:14:31.843000,183,False,False,
1,1,Volt Charge,one,Near Mint,English,,,2025-03-06 19:14:50.390000,155,False,False,
1,1,White Sun's Twilight,one,Near Mint,English,,,2025-07-05 00:39:09.560000,38,False,False,
