Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Assaultron Dominator,pip,Near Mint,English,,,2025-01-08 21:49:55.733000,54,False,False,0.12
1,1,Automated Assembly Line,pip,Near Mint,English,,,2025-01-08 21:49:55.733000,10,False,False,0.12
1,1,Behemoth of Vault 0,pip,Near Mint,English,,,2025-01-08 21:49:55.733000,127,False,False,0.13
1,1,Brotherhood Scribe,pip,Near Mint,English,,,2025-01-08 21:49:55.733000,13,False,False,0.15
1,1,Canyon Slough,pip,Near Mint,English,,,2025-02-21 02:20:35.850000,256,False,False,
1,1,Champion's Helm,pip,Near Mint,English,,,2025-01-08 21:49:55.733000,228,False,False,1.36
1,1,Clifftop Retreat,pip,Near Mint,English,,,2025-01-08 21:49:55.733000,258,False,False,0.48
1,1,Dr. Madison Li,pip,Near Mint,English,foil,,2025-01-08 21:49:55.733000,3,False,False,0.2
1,1,Electrosiphon,pip,Near Mint,English,,,2025-01-08 21:49:55.733000,104,False,False,0.11
1,1,Fervent Charge,pip,Near Mint,English,,,2025-01-08 21:49:55.733000,215,False,False,0.16
1,1,Fetid Pools,pip,Near Mint,English,,,2025-01-08 21:49:55.733000,265,False,False,0.18
1,1,HELIOS One,pip,Near Mint,English,,,2025-07-04 23:36:19.303000,149,False,False,
1,1,"Liberty Prime, Recharged",pip,Near Mint,English,foil,,2025-01-08 21:49:55.733000,5,False,False,0.2
1,1,Morbid Opportunist,pip,Near Mint,English,,,2025-03-02 19:35:19.547000,186,False,False,
1,1,Nerd Rage,pip,Near Mint,English,,,2025-07-04 23:37:03.303000,34,False,False,
1,1,"Paladin Danse, Steel Maverick",pip,Near Mint,English,,,2025-07-04 23:37:27.437000,20,False,False,
2,2,Path of Ancestry,pip,Near Mint,English,foil,,2025-01-12 05:13:00.627000,279,False,False,0.17
1,1,Plasma Caster,pip,Near Mint,English,,,2025-01-08 21:49:55.733000,64,False,False,0.15
1,1,"Rex, Cyber-Hound",pip,Near Mint,English,foil,,2025-01-12 06:35:55.750000,117,False,False,0.12
1,1,Roadside Reliquary,pip,Near Mint,English,,,2025-01-27 03:53:16.530000,282,False,False,
1,1,Robobrain War Mind,pip,Near Mint,English,foil,,2025-01-12 06:36:16.070000,38,False,False,0.07
1,1,Rustvale Bridge,pip,Near Mint,English,,,2025-02-21 02:30:49.750000,285,False,False,
1,1,Sentry Bot,pip,Near Mint,English,foil,,2025-01-12 06:39:24.980000,24,False,False,0.12
1,1,"Shaun, Father of Synths",pip,Near Mint,English,,,2025-01-08 21:49:55.733000,119,False,False,0.15
1,1,Silverbluff Bridge,pip,Near Mint,English,,,2025-02-21 02:30:34.370000,290,False,False,
1,1,Steel Overseer,pip,Near Mint,English,,,2025-07-04 23:36:47.513000,241,False,False,
1,1,Synth Eradicator,pip,Near Mint,English,foil,,2025-01-08 21:49:55.733000,67,False,False,0.51
1,1,T-45 Power Armor,pip,Near Mint,English,,,2025-01-08 21:49:55.733000,145,False,False,0.12
1,1,Talisman of Conviction,pip,Near Mint,English,,,2025-02-21 02:29:16.857000,243,False,False,
1,1,"The Motherlode, Excavator",pip,Near Mint,English,foil,,2025-01-12 06:46:14.703000,62,False,False,0.11
1,1,Vault 112: Sadistic Simulation,pip,Near Mint,English,foil,,2025-01-12 06:49:22.300000,123,False,False,0.09
