Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Ash Barrens,plst,Near Mint,English,,,2025-01-27 03:54:01.460000,CM2-235,False,False,
1,1,Bonecrusher Giant // Stomp,plst,Near Mint,English,,,2025-01-29 03:40:22.943000,ELD-115,False,False,
1,1,Chancellor of the Annex,plst,Near Mint,English,,,2025-02-05 21:07:14.630000,NPH-6,False,False,
1,1,Eternal Thirst,plst,Near Mint,English,,,2025-02-11 05:48:22.720000,IMA-89,False,False,
1,1,Gifted Aetherborn,plst,Near Mint,English,,,2025-04-21 01:59:28.537000,AER-61,False,False,
1,1,Helm of the Host,plst,Near Mint,English,,,2025-04-21 01:45:01.883000,DOM-217,False,False,
1,1,Light Up the Stage,plst,Near Mint,English,,,2025-01-12 05:33:37.297000,RNA-107,False,False,
1,1,Lightning Greaves,plst,Near Mint,English,,,2025-02-21 02:24:23.920000,CMM-398,False,False,
1,1,Lightning Skelemental,plst,Near Mint,English,,,2025-02-21 03:21:54.967000,MH1-208,False,False,
1,1,Stab Wound,plst,Near Mint,English,,,2025-01-29 03:16:36.610000,M15-116,False,False,
