Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Arrester's Zeal,rna,Near Mint,English,,,2025-03-07 23:12:55.923000,4,False,False,
1,1,Clear the Mind,rna,Near Mint,English,,,2025-03-04 23:09:15.337000,34,False,False,
1,1,Cry of the Carnarium,rna,Near Mint,English,foil,,2025-01-12 06:09:53.410000,70,False,False,
1,1,Deface,rna,Near Mint,English,,,2025-03-07 22:57:53.607000,98,False,False,
1,1,Faerie Duelist,rna,Near Mint,English,,,2025-03-04 23:09:41.553000,39,False,False,
1,1,Kaya's Wrath,rna,Near Mint,English,,,2025-02-05 21:05:36.817000,187,False,False,
1,1,Mortify,rna,Near Mint,English,,,2025-01-08 21:49:55.733000,192,False,False,0.14
1,1,Orzhov Locket,rna,Near Mint,English,,,2025-01-08 21:49:55.733000,236,False,False,0.09
1,1,Rakdos Locket,rna,Near Mint,English,,,2025-01-08 21:49:55.733000,237,False,False,0.07
1,1,Rakdos Locket,rna,Near Mint,English,,,2025-01-11 03:09:10.737000,237,False,False,
1,1,"Rakdos, the Showstopper",rna,Near Mint,English,,,2025-01-08 21:49:55.733000,199,False,False,1.68
1,1,Senate Griffin,rna,Near Mint,English,,,2025-03-07 22:58:07.183000,219,False,False,
2,2,Territorial Boar,rna,Near Mint,English,,,2025-03-05 00:47:22.320000,145,False,False,
2,2,Vizkopa Vampire,rna,Near Mint,English,,,2025-03-05 00:46:46.707000,220,False,False,
