Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Bazaar Krovod,rtr,Near Mint,English,,,2025-01-08 21:49:55.733000,7,False,False,0.02
1,1,Doorkeeper,rtr,Near Mint,English,,,2025-01-08 21:49:55.733000,37,False,False,0.04
1,1,Drudge Beetle,rtr,Near Mint,English,,,2025-01-08 21:49:55.733000,122,False,False,0.02
1,1,Dynacharge,rtr,Near Mint,English,,,2025-01-08 21:49:55.733000,92,False,False,0.05
1,1,Forest,rtr,Near Mint,English,,,2025-01-08 21:49:55.733000,273,False,False,0.11
1,1,Frostburn Weird,rtr,Near Mint,English,,,2025-01-08 21:49:55.733000,215,False,False,0.04
1,1,Hellhole Flailer,rtr,Near Mint,English,,,2025-03-07 23:02:30.467000,167,False,False,
1,1,Izzet Charm,rtr,Near Mint,English,,,2025-01-08 21:49:55.733000,172,False,False,0.17
1,1,Keening Apparition,rtr,Near Mint,English,,,2025-03-06 22:21:22.937000,12,False,False,
1,1,Knightly Valor,rtr,Near Mint,English,,,2025-03-06 22:21:11.030000,13,False,False,
1,1,Lobber Crew,rtr,Near Mint,English,,,2025-01-08 21:49:55.733000,99,False,False,0.1
1,1,Mind Rot,rtr,Near Mint,English,,,2025-01-08 21:49:55.733000,70,False,False,0.04
1,1,Mizzium Skin,rtr,Near Mint,English,,,2025-01-08 21:49:55.733000,45,False,False,0.17
1,1,Nivix Guildmage,rtr,Near Mint,English,,,2025-03-07 23:02:49.687000,182,False,False,
1,1,Rakdos Guildgate,rtr,Near Mint,English,,,2025-01-27 03:52:36.027000,244,False,False,
1,1,Rootborn Defenses,rtr,Near Mint,English,,,2025-01-08 21:49:55.733000,19,False,False,0.19
1,1,Savage Surge,rtr,Near Mint,English,,,2025-01-08 21:49:55.733000,133,False,False,0.08
1,1,Seller of Songbirds,rtr,Near Mint,English,,,2025-01-08 21:49:55.733000,22,False,False,0.04
2,2,Trestle Troll,rtr,Near Mint,English,,,2025-03-06 22:20:44.027000,205,False,False,
1,1,Trestle Troll,rtr,Near Mint,English,,,2025-01-08 21:49:55.733000,205,False,False,0.03
1,1,Urban Burgeoning,rtr,Near Mint,English,,,2025-01-08 21:49:55.733000,138,False,False,0.08
1,1,Utvara Hellkite,rtr,Near Mint,English,,,2025-01-09 22:38:00.913000,110,False,False,
