Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Backstreet Bruiser,snc,Near Mint,English,,,2025-03-07 22:41:47.750000,35,False,False,
1,1,Brokers Veteran,snc,Near Mint,English,,,2025-03-05 01:38:22.607000,36,False,False,
2,2,Cement Shoes,snc,Near Mint,English,,,2025-03-05 01:38:50.773000,235,False,False,
1,1,Citizen's Crowbar,snc,Near Mint,English,,,2025-03-05 01:31:40.463000,8,False,False,
1,1,Civic Gardener,snc,Near Mint,English,,,2025-03-06 22:05:43.297000,140,False,False,
1,1,Civil Servant,snc,Near Mint,English,,,2025-03-06 22:01:31.397000,176,False,False,
1,1,Cleanup Crew,snc,Near Mint,English,,,2025-03-07 23:18:23.970000,141,False,False,
2,2,Dapper Shieldmate,snc,Near Mint,English,,,2025-03-07 22:41:29.330000,9,False,False,
1,1,Daring Escape,snc,Near Mint,English,,,2025-03-06 22:12:57.983000,104,False,False,
1,1,Demon's Due,snc,Near Mint,English,,,2025-03-06 20:13:22.377000,75,False,False,
1,1,Dig Up the Body,snc,Near Mint,English,,,2025-03-07 22:15:28.147000,76,False,False,
1,1,Disciplined Duelist,snc,Near Mint,English,,,2025-03-07 22:16:38.317000,304,False,False,
1,1,Dusk Mangler,snc,Near Mint,English,,,2025-03-07 20:11:13.313000,77,False,False,
1,1,Exhibition Magician,snc,Near Mint,English,,,2025-03-07 23:17:44.540000,106,False,False,
1,1,Expendable Lackey,snc,Near Mint,English,,,2025-03-06 20:13:42.367000,43,False,False,
1,1,"Giada, Font of Hope",snc,Near Mint,English,,,2025-01-08 21:49:55.733000,14,False,False,1.34
1,1,Gilded Pinions,snc,Near Mint,English,,,2025-03-06 22:04:58.347000,238,False,False,
1,1,Glamorous Outlaw,snc,Near Mint,English,,,2025-03-07 20:12:42.437000,190,False,False,
2,2,Glittermonger,snc,Near Mint,English,,,2025-03-07 23:11:36.293000,149,False,False,
1,1,Island,snc,Near Mint,English,,,2025-03-05 01:50:10.760000,275,False,False,
1,1,Metropolis Angel,snc,Near Mint,English,,,2025-03-05 00:58:40.657000,203,False,False,
5,5,Mountain,snc,Near Mint,English,,,2025-03-05 01:56:46.643000,278,False,False,
1,1,Nimble Larcenist,snc,Near Mint,English,,,2025-03-05 00:59:07.737000,321,False,False,
1,1,Obscura Charm,snc,Near Mint,English,foil,,2025-01-12 06:33:00.427000,323,False,False,0.05
1,1,Out of the Way,snc,Near Mint,English,,,2025-03-05 01:38:37.997000,52,False,False,
1,1,Paragon of Modernity,snc,Near Mint,English,,,2025-03-07 20:12:02.843000,242,False,False,
1,1,Plasma Jockey,snc,Near Mint,English,,,2025-03-07 22:42:02.067000,115,False,False,
1,1,"Queza, Augur of Agonies",snc,Near Mint,English,,,2025-01-08 21:49:55.733000,326,False,False,0.05
1,1,"Raffine, Scheming Seer",snc,Near Mint,English,,,2025-01-08 21:49:55.733000,327,False,False,1.22
1,1,Raffine's Guidance,snc,Near Mint,English,,,2025-03-06 22:05:24.990000,25,False,False,
1,1,Rakish Revelers,snc,Near Mint,English,,,2025-03-07 22:16:10.740000,214,False,False,
1,1,Ready to Rumble,snc,Near Mint,English,,,2025-03-06 19:45:36.350000,119,False,False,
1,1,Revel Ruiner,snc,Near Mint,English,,,2025-03-07 21:12:34.540000,91,False,False,
1,1,Sewer Crocodile,snc,Near Mint,English,,,2025-03-07 23:11:05.327000,60,False,False,
2,2,Sleep with the Fishes,snc,Near Mint,English,,,2025-03-07 23:10:45.160000,61,False,False,
1,1,Speakeasy Server,snc,Near Mint,English,,,2025-03-07 23:10:16.567000,32,False,False,
1,1,Suspicious Bookcase,snc,Near Mint,English,,,2025-03-07 23:18:40.813000,245,False,False,
2,2,Swamp,snc,Near Mint,English,,,2025-03-05 02:04:04.617000,276,False,False,
1,1,"Toluz, Clever Conductor",snc,Near Mint,English,foil,,2025-01-12 06:46:56.380000,336,False,False,0.1
1,1,Void Rend,snc,Near Mint,English,,,2025-01-08 21:49:55.733000,338,False,False,1.28
1,1,Whack,snc,Near Mint,English,,,2025-03-05 00:58:22.697000,99,False,False,
1,1,Wingshield Agent,snc,Near Mint,English,,,2025-03-05 01:38:01.367000,64,False,False,
1,1,Wrecking Crew,snc,Near Mint,English,,,2025-03-07 23:11:27.047000,132,False,False,
1,1,"Ziatora, the Incinerator",snc,Near Mint,English,,,2025-01-08 21:49:55.733000,231,False,False,0.47
