Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,"Archangel Avacyn // Avacyn, the Purifier",soi,Near Mint,English,,,2025-01-11 03:15:17.607000,5,False,False,
1,1,Breakneck Rider // Neck Breaker,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,147,False,False,0.29
1,1,Call the Bloodline,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,103,False,False,0.11
1,1,Creeping Dread,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,104,False,False,0.11
1,1,Drunau Corpse Trawler,soi,Near Mint,English,,,2025-03-05 00:45:31.693000,57,False,False,
1,1,Duskwatch Recruiter // Krallenhorde Howler,soi,Near Mint,English,,,2025-03-06 21:03:58.917000,203,False,False,
1,1,Ember-Eye Wolf,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,154,False,False,0.08
1,1,Ethereal Guidance,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,18,False,False,0.01
1,1,Farbog Revenant,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,110,False,False,0.03
1,1,Fiery Temper,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,156,False,False,0.11
1,1,Ghoulcaller's Accomplice,soi,Near Mint,English,,,2025-03-05 01:15:21.257000,112,False,False,
1,1,Gisa's Bidding,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,114,False,False,0.11
1,1,Hermit of the Natterknolls // Lone Wolf of the Natterknolls,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,209,False,False,0.29
1,1,Hulking Devil,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,165,False,False,0.04
1,1,Inquisitor's Ox,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,24,False,False,0.07
1,1,Lamplighter of Selhoff,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,72,False,False,0.04
1,1,Merciless Resolve,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,123,False,False,0.05
1,1,Moonlight Hunt,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,219,False,False,0.16
3,3,Mountain,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,292,False,False,0.09
1,1,Murderous Compulsion,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,126,False,False,0.04
1,1,Puncturing Light,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,35,False,False,0.03
1,1,Rabid Bite,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,223,False,False,0.05
1,1,Root Out,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,224,False,False,0.03
1,1,Shard of Broken Glass,soi,Near Mint,English,foil,,2025-01-12 06:40:36.043000,262,False,False,0.02
1,1,Silent Observer,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,86,False,False,0.02
1,1,Skeleton Key,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,263,False,False,0.22
1,1,Sleep Paralysis,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,87,False,False,0.06
1,1,Stensia Masquerade,soi,Near Mint,English,,,2025-03-15 16:09:31.733000,184,False,False,
1,1,Stitchwing Skaab,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,90,False,False,0.04
1,1,Thornhide Wolves,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,232,False,False,0.04
1,1,True-Faith Censer,soi,Near Mint,English,,,2025-03-05 01:16:49.813000,267,False,False,
1,1,Vessel of Ephemera,soi,Near Mint,English,,,2025-01-08 21:49:55.733000,48,False,False,0.02
