Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Abrade,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,203,False,False,
1,1,Adaptive Training Post,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,18,False,False,
1,1,Adarkar Wastes,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,338,False,False,
1,1,Aligned Heart,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,12,False,False,
1,1,Ancestral Vision,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,144,False,False,
1,1,Arcane Signet,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,105,False,False,
2,2,Archmage Emeritus,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,145,False,False,
1,1,Ash Barrens,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,339,False,False,
1,1,Azorius Signet,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,312,False,False,
2,2,Baral and Kari Zev,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,282,False,False,
1,1,Baral's Expertise,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,146,False,False,
1,1,Battlefield Forge,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,340,False,False,
1,1,Big Score,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,206,False,False,
1,1,Boros Signet,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,314,False,False,
1,1,Caldera Pyremaw,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,33,False,False,
1,1,Cascade Bluffs,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,345,False,False,
1,1,Clifftop Retreat,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,351,False,False,
1,1,Command Tower,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,107,False,False,
1,1,Compulsive Research,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,147,False,False,
1,1,Consider,tdc,Near Mint,English,,,2025-04-21 05:53:34.557000,148,False,False,
