Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,All-Out Assault,tdm,Near Mint,English,,,2025-04-30 17:25:13.783000,167,False,False,
1,1,Cori Mountain Monastery,tdm,Near Mint,English,,,2025-04-28 20:44:27.710000,393,False,False,
1,1,Dragonstorm Globe,tdm,Near Mint,English,,,2025-04-30 17:31:11.320000,241,False,False,
1,1,Evolving Wilds,tdm,Near Mint,English,,,2025-04-21 05:53:34.557000,255,False,False,
2,2,Inevitable Defeat,tdm,Near Mint,English,,,2025-07-05 01:12:19.090000,194,False,False,
2,2,Island,tdm,Near Mint,English,,,2025-04-21 05:53:34.557000,280,False,False,
3,3,Island,tdm,Near Mint,English,,,2025-04-21 05:53:34.557000,279,False,False,
3,3,Mountain,tdm,Near Mint,English,,,2025-04-21 05:53:34.557000,283,False,False,
2,2,Mountain,tdm,Near Mint,English,,,2025-04-21 05:53:34.557000,284,False,False,
1,1,Mystic Monastery,tdm,Near Mint,English,,,2025-04-21 05:53:34.557000,262,False,False,
1,1,"Neriv, Heart of the Storm",tdm,Near Mint,English,,,2025-04-30 17:32:06.723000,210,False,False,
2,2,Plains,tdm,Near Mint,English,,,2025-04-21 05:53:34.557000,278,False,False,
2,2,Plains,tdm,Near Mint,English,,,2025-04-21 05:53:34.557000,277,False,False,
1,1,Thunder of Unity,tdm,Near Mint,English,,,2025-07-05 01:01:41.707000,231,False,False,
1,1,Windcrag Siege,tdm,Near Mint,English,,,2025-04-30 17:32:59.857000,392,False,False,
