Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Dreadful Apathy,thb,Near Mint,English,,,2025-03-07 23:25:14.633000,11,False,False,
1,1,Dream Trawler,thb,Near Mint,English,,,2025-01-08 21:49:55.733000,214,False,False,0.22
1,1,Eat to Extinction,thb,Near Mint,English,,,2025-02-21 02:20:10.083000,312,False,False,
1,1,Eutropia the Twice-Favored,thb,Near Mint,English,,,2025-03-07 23:24:03.417000,216,False,False,
1,1,Flicker of Fate,thb,Near Mint,English,,,2025-03-07 23:25:47.507000,16,False,False,
1,1,Indomitable Will,thb,Near Mint,English,,,2025-03-07 23:25:31.410000,25,False,False,
1,1,Mischievous Chimera,thb,Near Mint,English,,,2025-03-07 23:24:30.773000,223,False,False,
1,1,Rage-Scarred Berserker,thb,Near Mint,English,,,2025-03-06 21:47:52.423000,113,False,False,
1,1,Rumbling Sentry,thb,Near Mint,English,,,2025-03-07 23:24:48.450000,35,False,False,
1,1,Sentinel's Eyes,thb,Near Mint,English,foil,,2025-01-12 06:39:13.333000,36,False,False,0.11
1,1,Shatter the Sky,thb,Near Mint,English,,,2025-02-05 21:09:11.273000,37,False,False,
1,1,Temple of Deceit,thb,Near Mint,English,,,2025-03-05 02:41:33.407000,245,False,False,
1,1,Underworld Charger,thb,Near Mint,English,,,2025-03-06 21:47:15.250000,120,False,False,
1,1,Underworld Dreams,thb,Near Mint,English,,,2025-01-11 03:10:08.270000,121,False,False,
