Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
2,2,Anvilwrought Raptor,ths,Near Mint,English,,,2025-03-07 23:03:15.637000,211,False,False,
2,2,Cavalry Pegasus,ths,Near Mint,English,,,2025-03-07 23:12:07.960000,2,False,False,
2,2,Felhide Minotaur,ths,Near Mint,English,,,2025-03-06 21:08:56.650000,87,False,False,
1,1,Guardians of Meletis,ths,Near Mint,English,,,2025-03-06 21:08:21.900000,217,False,False,
1,1,Kragma Warcaller,ths,Near Mint,English,,,2025-03-07 22:25:26.343000,195,False,False,
2,2,Magma Jet,ths,Near Mint,English,,,2025-03-05 01:15:56.330000,128,False,False,
1,1,Medomai the Ageless,ths,Near Mint,English,,,2025-02-22 23:12:06.820000,196,False,False,1.15
1,1,Nylea's Disciple,ths,Near Mint,English,,,2025-03-06 22:22:49.937000,167,False,False,
1,1,Sentry of the Underworld,ths,Near Mint,English,,,2025-03-05 01:18:50.970000,202,False,False,
1,1,Swamp,ths,Near Mint,English,,,2025-01-08 21:49:55.733000,241,False,False,0.12
2,2,Thassa's Bounty,ths,Near Mint,English,,,2025-03-06 21:40:56.497000,67,False,False,
2,2,Unknown Shores,ths,Near Mint,English,,,2025-03-05 02:38:36.347000,229,False,False,
