Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
4,4,Bird,tscd,Near Mint,English,,,2025-01-08 21:49:55.733000,2,False,False,0.06
3,3,Cat Bird,tscd,Near Mint,English,,,2025-01-08 21:49:55.733000,5,False,False,0.23
2,2,Demon,tscd,Near Mint,English,,,2025-01-08 21:49:55.733000,12,False,False,0.12
1,1,Elephant,tscd,Near Mint,English,,,2025-01-08 21:49:55.733000,20,False,False,0.09
1,1,Ob Nixilis Reignited Emblem,tscd,Near Mint,English,,,2025-01-08 21:49:55.733000,26,False,False,0.1
8,8,Ogre,tscd,Near Mint,English,,,2025-01-08 21:49:55.733000,18,False,False,0.07
1,1,Pegasus,tscd,Near Mint,English,,,2025-01-08 21:49:55.733000,7,False,False,0.14
3,3,Spirit,tscd,Near Mint,English,,,2025-01-08 21:49:55.733000,9,False,False,0.03
6,6,Thopter,tscd,Near Mint,English,,,2025-01-08 21:49:55.733000,11,False,False,0.14
2,2,Thopter,tscd,Near Mint,English,,,2025-01-08 21:49:55.733000,24,False,False,0.13
8,8,Zombie,tscd,Near Mint,English,,,2025-01-08 21:49:55.733000,13,False,False,0.26
