Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Children of Korlis,tsr,Near Mint,English,,,2025-01-08 21:49:55.733000,14,False,False,0.17
1,1,Evolution Charm,tsr,Near Mint,English,,,2025-03-06 21:02:01.810000,202,False,False,
1,1,Hedron Archive,tsr,Near Mint,English,,,2025-01-08 21:49:55.733000,395,False,False,0.39
2,2,Jhoira's Timebug,tsr,Near Mint,English,,,2025-03-06 19:15:30.710000,269,False,False,
1,1,Mana Tithe,tsr,Near Mint,English,,,2025-01-08 21:49:55.733000,26,False,False,0.31
1,1,Mindstab,tsr,Near Mint,English,,,2025-03-06 21:00:00.930000,123,False,False,
1,1,Rebuff the Wicked,tsr,Near Mint,English,,,2025-01-08 21:49:55.733000,35,False,False,3.69
1,1,Restoration Angel,tsr,Near Mint,English,,,2025-01-08 21:49:55.733000,300,False,False,0.38
1,1,Silence,tsr,Near Mint,English,,,2025-07-05 01:01:04.757000,302,False,False,
1,1,Thallid Shell-Dweller,tsr,Near Mint,English,,,2025-03-06 20:42:11.197000,237,False,False,
