Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Adamant Will,vow,Near Mint,English,,,2025-03-04 21:47:40.697000,1,False,False,
1,1,Aim for the Head,vow,Near Mint,English,,,2025-03-06 19:31:09.873000,92,False,False,
1,1,Alchemist's Retrieval,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,47,False,False,0.06
1,1,Alchemist's Retrieval,vow,Near Mint,English,,,2025-03-04 21:48:46.180000,47,False,False,
1,1,Ancestral Anger,vow,Near Mint,English,,,2025-03-04 20:45:14.057000,142,False,False,
1,1,Belligerent Guest,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,301,False,False,0.02
3,3,Belligerent Guest,vow,Near Mint,English,,,2025-03-05 01:34:03.450000,301,False,False,
1,1,Binding Geist // Spectral Binding,vow,Near Mint,English,,,2025-03-07 23:07:37.890000,48,False,False,
1,1,Bleed Dry,vow,Near Mint,English,,,2025-03-05 01:12:15.813000,94,False,False,
1,1,Blood Hypnotist,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,145,False,False,0.05
3,3,Blood Petal Celebrant,vow,Near Mint,English,,,2025-03-07 22:19:34.957000,303,False,False,
1,1,Blood Petal Celebrant,vow,Near Mint,English,,,2025-03-05 00:23:07.597000,303,False,False,0.02
3,3,Bloodcrazed Socialite,vow,Near Mint,English,,,2025-03-05 01:11:10.067000,96,False,False,
1,1,Bloodcrazed Socialite,vow,Near Mint,English,,,2025-03-05 00:23:14.247000,96,False,False,0.01
1,1,Bloodcrazed Socialite,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,288,False,False,0.02
1,1,Bloodtithe Harvester,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,232,False,False,0.22
1,1,Boarded Window,vow,Near Mint,English,,,2025-03-04 21:52:29.853000,253,False,False,
2,2,Bride's Gown,vow,Near Mint,English,,,2025-03-07 20:49:19.373000,4,False,False,
1,1,By Invitation Only,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,5,False,False,0.21
1,1,Catapult Fodder // Catapult Captain,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,99,False,False,0.07
1,1,Ceremonial Knife,vow,Near Mint,English,,,2025-03-04 21:44:11.387000,254,False,False,
1,1,Chill of the Grave,vow,Near Mint,English,,,2025-03-05 01:36:40.980000,51,False,False,
1,1,Courier Bat,vow,Near Mint,English,,,2025-03-06 19:44:23.627000,102,False,False,
1,1,Cradle of Safety,vow,Near Mint,English,,,2025-03-06 21:07:34.163000,54,False,False,
1,1,Crawling Infestation,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,193,False,False,0.14
1,1,Cruel Witness,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,55,False,False,0.03
2,2,Crushing Canopy,vow,Near Mint,English,,,2025-03-05 01:12:32.553000,194,False,False,
1,1,Dawnhart Disciple,vow,Near Mint,English,,,2025-03-07 19:52:48.170000,196,False,False,
3,3,Daybreak Combatants,vow,Near Mint,English,,,2025-03-07 20:55:01.877000,153,False,False,
1,1,Desperate Farmer // Depraved Harvester,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,104,False,False,0.02
2,2,Desperate Farmer // Depraved Harvester,vow,Near Mint,English,,,2025-03-05 01:36:59.913000,104,False,False,
1,1,Dig Up,vow,Near Mint,English,,,2025-03-04 21:47:12.580000,197,False,False,
2,2,Diregraf Scavenger,vow,Near Mint,English,,,2025-03-07 19:53:29.357000,105,False,False,
2,2,Doomed Dissenter,vow,Near Mint,English,,,2025-03-05 00:39:28.210000,106,False,False,
1,1,Dreadlight Monstrosity,vow,Near Mint,English,,,2025-03-07 22:46:10.513000,57,False,False,
1,1,Drogskol Infantry // Drogskol Armaments,vow,Near Mint,English,,,2025-03-05 00:55:08.527000,10,False,False,
1,1,"Edgar, Charmed Groom // Edgar Markov's Coffin",vow,Near Mint,English,,,2025-04-21 01:59:40.373000,236,False,False,
2,2,End the Festivities,vow,Near Mint,English,,,2025-03-05 00:32:11.177000,155,False,False,
1,1,Estwald Shieldbasher,vow,Near Mint,English,foil,,2025-01-12 06:15:03.800000,11,False,False,0.03
3,3,Estwald Shieldbasher,vow,Near Mint,English,,,2025-03-07 20:54:50.707000,11,False,False,
1,1,Evolving Wilds,vow,Near Mint,English,,,2025-03-04 21:50:55.010000,263,False,False,
1,1,Faithbound Judge // Sinner's Judgment,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,12,False,False,0.71
1,1,Falkenrath Celebrants,vow,Near Mint,English,,,2025-03-07 20:50:16.290000,156,False,False,
1,1,Falkenrath Celebrants,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,306,False,False,0.03
1,1,Fear of Death,vow,Near Mint,English,,,2025-03-07 19:45:35.387000,59,False,False,
2,2,Fearful Villager // Fearsome Werewolf,vow,Near Mint,English,,,2025-03-07 22:19:17.827000,157,False,False,
2,2,Flame-Blessed Bolt,vow,Near Mint,English,,,2025-03-05 00:43:20.767000,158,False,False,
2,2,Fleeting Spirit,vow,Near Mint,English,,,2025-03-07 23:07:55.827000,14,False,False,
3,3,Flourishing Hunter,vow,Near Mint,English,,,2025-03-06 22:24:30.457000,199,False,False,
1,1,Forest,vow,Near Mint,English,,,2025-03-04 20:41:29.080000,277,False,False,
1,1,Frenzied Devils,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,159,False,False,0.02
1,1,Geistlight Snare,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,60,False,False,0.14
1,1,Gift of Fangs,vow,Near Mint,English,,,2025-03-05 00:55:49.263000,113,False,False,
1,1,Gluttonous Guest,vow,Near Mint,English,,,2025-03-04 22:38:05.363000,114,False,False,
1,1,Gluttonous Guest,vow,Near Mint,English,foil,,2025-03-04 21:58:21.703000,292,False,False,
2,2,Gluttonous Guest,vow,Near Mint,English,,,2025-03-05 00:33:16.963000,292,False,False,
1,1,Grisly Ritual,vow,Near Mint,English,,,2025-03-04 23:22:13.920000,116,False,False,
1,1,Grisly Ritual,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,116,False,False,0.03
1,1,"Grolnok, the Omnivore",vow,Near Mint,English,,,2025-03-04 21:53:55.247000,238,False,False,
1,1,Groom's Finery,vow,Near Mint,English,,,2025-03-05 01:34:36.217000,117,False,False,
2,2,Gryff Rider,vow,Near Mint,English,,,2025-03-06 21:07:11.197000,15,False,False,
2,2,Gutter Skulker // Gutter Shortcut,vow,Near Mint,English,,,2025-03-07 19:45:11.160000,62,False,False,
1,1,"Halana and Alena, Partners",vow,Near Mint,English,,,2025-03-04 21:45:38.150000,239,False,False,
1,1,Heron of Hope,vow,Near Mint,English,,,2025-03-05 01:34:20.750000,18,False,False,
1,1,Hopeful Initiate,vow,Near Mint,English,,,2025-03-04 21:53:35.667000,20,False,False,
1,1,Hopeful Initiate,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,20,False,False,0.68
1,1,Island,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,270,False,False,0.25
1,1,Kindly Ancestor // Ancestor's Embrace,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,22,False,False,0.02
1,1,Kindly Ancestor // Ancestor's Embrace,vow,Near Mint,English,,,2025-03-04 21:44:38.837000,22,False,False,
2,2,Lacerate Flesh,vow,Near Mint,English,,,2025-03-05 00:40:42.950000,166,False,False,
1,1,Lacerate Flesh,vow,Near Mint,English,foil,,2025-01-08 21:49:55.733000,166,False,False,0.04
1,1,Lacerate Flesh,vow,Near Mint,English,foil,,2025-03-05 00:40:19.920000,166,False,False,0.02
3,3,Lantern Bearer // Lanterns' Lift,vow,Near Mint,English,,,2025-03-06 21:06:32.687000,66,False,False,
1,1,Magma Pummeler,vow,Near Mint,English,,,2025-03-04 21:57:01.397000,169,False,False,
1,1,Markov Purifier,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,312,False,False,0.08
1,1,Massive Might,vow,Near Mint,English,,,2025-03-06 19:31:31.243000,208,False,False,
3,3,Mindleech Ghoul,vow,Near Mint,English,,,2025-03-07 23:30:46.650000,122,False,False,
1,1,Mischievous Catgeist // Catlike Curiosity,vow,Near Mint,English,foil,,2025-01-08 21:49:55.733000,69,False,False,0.23
7,7,Mountain,vow,Near Mint,English,,,2025-01-12 06:30:14.127000,274,False,False,0.19
3,3,Nebelgast Beguiler,vow,Near Mint,English,,,2025-03-07 22:19:53.700000,25,False,False,
1,1,Nurturing Presence,vow,Near Mint,English,,,2025-03-06 22:23:47.783000,26,False,False,
1,1,Old Rutstein,vow,Near Mint,English,foil,,2025-01-12 06:33:16.497000,244,False,False,0.5
1,1,Overcharged Amalgam,vow,Near Mint,English,,,2025-03-04 22:01:31.027000,71,False,False,
1,1,Panicked Bystander // Cackling Culprit,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,28,False,False,0.04
1,1,Panicked Bystander // Cackling Culprit,vow,Near Mint,English,,,2025-03-05 01:33:16.743000,28,False,False,
7,7,Plains,vow,Near Mint,English,,,2025-03-06 02:32:10.630000,268,False,False,0.22
2,2,Pointed Discussion,vow,Near Mint,English,,,2025-01-08 21:49:55.733000,126,False,False,0.07
1,1,Pyre Spawn,vow,Near Mint,English,,,2025-03-05 00:24:18.070000,173,False,False,0.02
1,1,Pyre Spawn,vow,Near Mint,English,,,2025-03-05 00:38:11.323000,173,False,False,
1,1,Ragged Recluse // Odious Witch,vow,Near Mint,English,,,2025-03-05 01:42:40.923000,127,False,False,
