Count,Tradelist Count,Name,Edition,Condition,Language,Foil,Tags,Last Modified,Collector Number,Alter,Proxy,Purchase Price
1,1,Akoum Hellhound,znr,Near Mint,English,,,2025-03-07 22:29:41.140000,133,False,False,
1,1,Anticognition,znr,Near Mint,English,,,2025-03-05 01:03:00.143000,45,False,False,
1,1,Blood Beckoning,znr,Near Mint,English,,,2025-03-05 01:07:45.877000,92,False,False,
1,1,"Drana, the Last Bloodchief",znr,Near Mint,English,,,2025-03-12 21:48:06.433000,98,False,False,
1,1,Kabira Outrider,znr,Near Mint,English,,,2025-03-07 23:28:24.100000,18,False,False,
1,1,"Linvala, Shield of Sea Gate",znr,Near Mint,English,,,2025-01-08 21:49:55.733000,368,False,False,0.4
1,1,Living Tempest,znr,Near Mint,English,,,2025-03-06 20:29:03.997000,65,False,False,
1,1,Lullmage's Domination,znr,Near Mint,English,,,2025-03-06 19:15:55.537000,66,False,False,
1,1,Lullmage's Familiar,znr,Near Mint,English,,,2025-03-07 22:31:06.290000,227,False,False,
2,2,Makindi Ox,znr,Near Mint,English,,,2025-03-07 19:49:44.520000,25,False,False,
1,1,Mesa Lynx,znr,Near Mint,English,,,2025-03-07 19:48:52.370000,28,False,False,
3,3,Mind Drain,znr,Near Mint,English,,,2025-03-07 23:27:22.907000,114,False,False,
1,1,Ondu Inversion // Ondu Skyruins,znr,Near Mint,English,,,2025-02-05 21:08:48.143000,30,False,False,
2,2,Plains,znr,Near Mint,English,,,2025-03-05 02:00:19.107000,267,False,False,
5,5,Plains,znr,Near Mint,English,,,2025-03-05 02:00:50.453000,268,False,False,
4,4,Plains,znr,Near Mint,English,,,2025-03-05 02:00:35.317000,266,False,False,
1,1,Scavenged Blade,znr,Near Mint,English,,,2025-03-07 23:27:38.250000,157,False,False,
1,1,Scorch Rider,znr,Near Mint,English,,,2025-03-05 01:04:07.557000,158,False,False,
1,1,Sizzling Barrage,znr,Near Mint,English,,,2025-03-06 20:28:52.460000,162,False,False,
2,2,Smite the Monstrous,znr,Near Mint,English,,,2025-03-07 19:49:09.670000,42,False,False,
1,1,Subtle Strike,znr,Near Mint,English,,,2025-03-07 23:28:54.093000,128,False,False,
2,2,Tajuru Blightblade,znr,Near Mint,English,,,2025-03-06 22:18:37.100000,208,False,False,
1,1,Tazeem Roilmage,znr,Near Mint,English,,,2025-03-06 20:24:39.243000,84,False,False,
1,1,Thundering Rebuke,znr,Near Mint,English,,,2025-03-06 19:18:55.720000,170,False,False,
1,1,Turntimber Ascetic,znr,Near Mint,English,,,2025-03-07 22:29:18.663000,214,False,False,
